Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-34.9211, 138.6216]",2020,7,1,20.8
"[-34.9211, 138.6216]",2020,7,2,15.3
"[-34.9211, 138.6216]",2020,7,3,13.8
"[-34.9211, 138.6216]",2020,7,4,14.8
"[-34.9211, 138.6216]",2020,7,5,15.5
"[-34.9211, 138.6216]",2020,7,6,14.1
"[-34.9211, 138.6216]",2020,7,7,12.6
"[-34.9211, 138.6216]",2020,7,8,15.1
"[-34.9211, 138.6216]",2020,7,9,16
"[-34.9211, 138.6216]",2020,7,10,16.2
"[-34.9211, 138.6216]",2020,7,11,13.5
"[-34.9211, 138.6216]",2020,7,12,15.6
"[-34.9211, 138.6216]",2020,7,13,16
"[-34.9211, 138.6216]",2020,7,14,14
"[-34.9211, 138.6216]",2020,7,15,17
"[-34.9211, 138.6216]",2020,7,16,18
"[-34.9211, 138.6216]",2020,7,17,20
"[-34.9211, 138.6216]",2020,7,18,16.6
"[-34.9211, 138.6216]",2020,7,19,15.3
"[-34.9211, 138.6216]",2020,7,20,15.1
"[-34.9211, 138.6216]",2020,7,21,13.1
"[-34.9211, 138.6216]",2020,7,22,12.7
"[-34.9211, 138.6216]",2020,7,23,15.5
"[-34.9211, 138.6216]",2020,7,24,18.7
"[-34.9211, 138.6216]",2020,7,25,19.8
"[-34.9211, 138.6216]",2020,7,26,17.3
"[-34.9211, 138.6216]",2020,7,27,16.1
"[-34.9211, 138.6216]",2020,7,28,14.1
"[-34.9211, 138.6216]",2020,7,29,16.8
"[-34.9211, 138.6216]",2020,7,30,16.2
