Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-35.0289, 117.8808]",2020,7,1,14
"[-35.0289, 117.8808]",2020,7,2,16.2
"[-35.0289, 117.8808]",2020,7,3,17.8
"[-35.0289, 117.8808]",2020,7,4,20.4
"[-35.0289, 117.8808]",2020,7,5,18
"[-35.0289, 117.8808]",2020,7,6,19.2
"[-35.0289, 117.8808]",2020,7,7,16
"[-35.0289, 117.8808]",2020,7,8,14.4
"[-35.0289, 117.8808]",2020,7,9,13.4
"[-35.0289, 117.8808]",2020,7,10,13.9
"[-35.0289, 117.8808]",2020,7,11,15
"[-35.0289, 117.8808]",2020,7,12,18.8
"[-35.0289, 117.8808]",2020,7,13,20
"[-35.0289, 117.8808]",2020,7,14,13.2
"[-35.0289, 117.8808]",2020,7,15,18
"[-35.0289, 117.8808]",2020,7,16,18.9
"[-35.0289, 117.8808]",2020,7,17,13.1
"[-35.0289, 117.8808]",2020,7,18,15.5
"[-35.0289, 117.8808]",2020,7,19,15.8
"[-35.0289, 117.8808]",2020,7,20,16.9
"[-35.0289, 117.8808]",2020,7,21,19
"[-35.0289, 117.8808]",2020,7,22,23.3
"[-35.0289, 117.8808]",2020,7,23,15.8
"[-35.0289, 117.8808]",2020,7,24,19
"[-35.0289, 117.8808]",2020,7,25,18
"[-35.0289, 117.8808]",2020,7,26,19.1
"[-35.0289, 117.8808]",2020,7,27,22.1
"[-35.0289, 117.8808]",2020,7,28,18
"[-35.0289, 117.8808]",2020,7,29,19.2
"[-35.0289, 117.8808]",2020,7,30,19
9500,2020,7,31,15.6
