Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-36.069, 146.9509] ",2020,7,1,16.4
"[-36.069, 146.9509] ",2020,7,2,13
"[-36.069, 146.9509] ",2020,7,3,10.3
"[-36.069, 146.9509] ",2020,7,4,11
"[-36.069, 146.9509] ",2020,7,5,14
"[-36.069, 146.9509] ",2020,7,6,11.8
"[-36.069, 146.9509] ",2020,7,7,9.8
"[-36.069, 146.9509] ",2020,7,8,14.7
"[-36.069, 146.9509] ",2020,7,9,15.2
"[-36.069, 146.9509] ",2020,7,10,13.9
"[-36.069, 146.9509] ",2020,7,11,11.7
"[-36.069, 146.9509] ",2020,7,12,10.7
"[-36.069, 146.9509] ",2020,7,13,14
"[-36.069, 146.9509] ",2020,7,14,15.9
"[-36.069, 146.9509] ",2020,7,15,15.1
"[-36.069, 146.9509] ",2020,7,16,13.9
"[-36.069, 146.9509] ",2020,7,17,14.7
"[-36.069, 146.9509] ",2020,7,18,13.1
"[-36.069, 146.9509] ",2020,7,19,15.8
"[-36.069, 146.9509] ",2020,7,20,12.4
"[-36.069, 146.9509] ",2020,7,21,14.7
"[-36.069, 146.9509] ",2020,7,22,14.6
"[-36.069, 146.9509] ",2020,7,23,10.6
"[-36.069, 146.9509] ",2020,7,24,13.8
"[-36.069, 146.9509] ",2020,7,25,12.4
"[-36.069, 146.9509] ",2020,7,26,15.4
"[-36.069, 146.9509] ",2020,7,27,14.3
"[-36.069, 146.9509] ",2020,7,28,18.6
"[-36.069, 146.9509] ",2020,7,29,15.9
"[-36.069, 146.9509] ",2020,7,30,16.6
"[-36.069, 146.9509] ",2020,7,31,15.6
