Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-23.7951, 133.8890]",2020,7,1,27.6
"[-23.7951, 133.8890]",2020,7,2,23
"[-23.7951, 133.8890]",2020,7,3,19.3
"[-23.7951, 133.8890]",2020,7,4,16.6
"[-23.7951, 133.8890]",2020,7,5,18
"[-23.7951, 133.8890]",2020,7,6,16.1
"[-23.7951, 133.8890]",2020,7,7,17.6
"[-23.7951, 133.8890]",2020,7,8,17.4
"[-23.7951, 133.8890]",2020,7,9,21.3
"[-23.7951, 133.8890]",2020,7,10,23.4
"[-23.7951, 133.8890]",2020,7,11,18.3
"[-23.7951, 133.8890]",2020,7,12,16.3
"[-23.7951, 133.8890]",2020,7,13,17.2
"[-23.7951, 133.8890]",2020,7,14,18
"[-23.7951, 133.8890]",2020,7,15,19
"[-23.7951, 133.8890]",2020,7,16,19.1
"[-23.7951, 133.8890]",2020,7,17,21.3
"[-23.7951, 133.8890]",2020,7,18,25.3
"[-23.7951, 133.8890]",2020,7,19,24
"[-23.7951, 133.8890]",2020,7,20,19.9
"[-23.7951, 133.8890]",2020,7,21,14.7
"[-23.7951, 133.8890]",2020,7,22,17.4
"[-23.7951, 133.8890]",2020,7,23,19.5
"[-23.7951, 133.8890]",2020,7,24,23.5
"[-23.7951, 133.8890]",2020,7,25,18.6
"[-23.7951, 133.8890]",2020,7,26,19.2
"[-23.7951, 133.8890]",2020,7,27,20.1
"[-23.7951, 133.8890]",2020,7,28,21.8
"[-23.7951, 133.8890]",2020,7,29,22.2
"[-23.7951, 133.8890]",2020,7,30,22.1
"[-23.7951, 133.8890]",2020,7,31,22.9
