Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-30.5243, 151.6716]",2020,7,1,14.9
"[-30.5243, 151.6716]",2020,7,2,16.5
"[-30.5243, 151.6716]",2020,7,3,17.5
"[-30.5243, 151.6716]",2020,7,4,8.2
"[-30.5243, 151.6716]",2020,7,5,11.5
"[-30.5243, 151.6716]",2020,7,6,13.4
"[-30.5243, 151.6716]",2020,7,7,13.5
"[-30.5243, 151.6716]",2020,7,8,12.8
"[-30.5243, 151.6716]",2020,7,9,14.5
"[-30.5243, 151.6716]",2020,7,10,16.3
"[-30.5243, 151.6716]",2020,7,11,12.4
"[-30.5243, 151.6716]",2020,7,12,15
"[-30.5243, 151.6716]",2020,7,13,10.6
"[-30.5243, 151.6716]",2020,7,14,7.6
"[-30.5243, 151.6716]",2020,7,15,11.6
"[-30.5243, 151.6716]",2020,7,16,12
"[-30.5243, 151.6716]",2020,7,17,13.5
"[-30.5243, 151.6716]",2020,7,18,16.7
"[-30.5243, 151.6716]",2020,7,19,15.9
"[-30.5243, 151.6716]",2020,7,20,14.4
"[-30.5243, 151.6716]",2020,7,21,13.7
"[-30.5243, 151.6716]",2020,7,22,14.4
"[-30.5243, 151.6716]",2020,7,23,16.8
"[-30.5243, 151.6716]",2020,7,24,13.5
"[-30.5243, 151.6716]",2020,7,25,11.9
"[-30.5243, 151.6716]",2020,7,26,12.1
"[-30.5243, 151.6716]",2020,7,27,8.5
"[-30.5243, 151.6716]",2020,7,28,8.8
"[-30.5243, 151.6716]",2020,7,29,12.9
"[-30.5243, 151.6716]",2020,7,30,15.6
"[-30.5243, 151.6716]",2020,7,31,12.8
