Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-37.5127, 143.7911]",2020,7,1,12.9
"[-37.5127, 143.7911]",2020,7,2,10.9
"[-37.5127, 143.7911]",2020,7,3,7
"[-37.5127, 143.7911]",2020,7,4,10.5
"[-37.5127, 143.7911]",2020,7,5,10.5
"[-37.5127, 143.7911]",2020,7,6,10.5
"[-37.5127, 143.7911]",2020,7,7,10.7
"[-37.5127, 143.7911]",2020,7,8,11.3
"[-37.5127, 143.7911]",2020,7,9,10.9
"[-37.5127, 143.7911]",2020,7,10,11.8
"[-37.5127, 143.7911]",2020,7,11,10.2
"[-37.5127, 143.7911]",2020,7,12,11.1
"[-37.5127, 143.7911]",2020,7,13,12.9
"[-37.5127, 143.7911]",2020,7,14,10.5
"[-37.5127, 143.7911]",2020,7,15,11.7
"[-37.5127, 143.7911]",2020,7,16,11.3
"[-37.5127, 143.7911]",2020,7,17,11.1
"[-37.5127, 143.7911]",2020,7,18,7.7
"[-37.5127, 143.7911]",2020,7,19,10.2
"[-37.5127, 143.7911]",2020,7,20,9.7
"[-37.5127, 143.7911]",2020,7,21,9.3
"[-37.5127, 143.7911]",2020,7,22,9.4
"[-37.5127, 143.7911]",2020,7,23,7.1
"[-37.5127, 143.7911]",2020,7,24,9.3
"[-37.5127, 143.7911]",2020,7,25,13.3
"[-37.5127, 143.7911]",2020,7,26,13.4
"[-37.5127, 143.7911]",2020,7,27,10.7
"[-37.5127, 143.7911]",2020,7,28,11.5
"[-37.5127, 143.7911]",2020,7,29,13.4
"[-37.5127, 143.7911]",2020,7,30,11.8
"[-37.5127, 143.7911]",2020,7,31,12.6
