Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-28.8353, 153.5585]",2020,7,1,21.1
"[-28.8353, 153.5585]",2020,7,2,23.3
"[-28.8353, 153.5585]",2020,7,3,24.5
"[-28.8353, 153.5585]",2020,7,4,19.7
"[-28.8353, 153.5585]",2020,7,5,18.7
"[-28.8353, 153.5585]",2020,7,6,19.1
"[-28.8353, 153.5585]",2020,7,7,19.1
"[-28.8353, 153.5585]",2020,7,8,16.3
"[-28.8353, 153.5585]",2020,7,9,19
"[-28.8353, 153.5585]",2020,7,10,19.2
"[-28.8353, 153.5585]",2020,7,11,22.1
"[-28.8353, 153.5585]",2020,7,12,20.8
"[-28.8353, 153.5585]",2020,7,13,19.7
"[-28.8353, 153.5585]",2020,7,14,18.9
"[-28.8353, 153.5585]",2020,7,15,20.5
"[-28.8353, 153.5585]",2020,7,16,20.2
"[-28.8353, 153.5585]",2020,7,17,20.1
"[-28.8353, 153.5585]",2020,7,18,18.4
"[-28.8353, 153.5585]",2020,7,19,21.6
"[-28.8353, 153.5585]",2020,7,20,21.2
"[-28.8353, 153.5585]",2020,7,21,19.7
"[-28.8353, 153.5585]",2020,7,22,16
"[-28.8353, 153.5585]",2020,7,23,17.5
"[-28.8353, 153.5585]",2020,7,24,18.7
"[-28.8353, 153.5585]",2020,7,25,17.8
"[-28.8353, 153.5585]",2020,7,26,20.4
"[-28.8353, 153.5585]",2020,7,27,19.4
"[-28.8353, 153.5585]",2020,7,28,21
"[-28.8353, 153.5585]",2020,7,29,20.4
"[-28.8353, 153.5585]",2020,7,30,20
"[-28.8353, 153.5585]",2020,7,31,18.8
