Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-33.9176, 150.9837]",2020,7,1,21.4
"[-33.9176, 150.9837]",2020,7,2,23.4
"[-33.9176, 150.9837]",2020,7,3,18.3
"[-33.9176, 150.9837]",2020,7,4,16.4
"[-33.9176, 150.9837]",2020,7,5,18.3
"[-33.9176, 150.9837]",2020,7,6,18.6
"[-33.9176, 150.9837]",2020,7,7,16.6
"[-33.9176, 150.9837]",2020,7,8,15.7
"[-33.9176, 150.9837]",2020,7,9,18.5
"[-33.9176, 150.9837]",2020,7,10,16.8
"[-33.9176, 150.9837]",2020,7,11,15.6
"[-33.9176, 150.9837]",2020,7,12,18.1
"[-33.9176, 150.9837]",2020,7,13,17.5
"[-33.9176, 150.9837]",2020,7,14,16.5
"[-33.9176, 150.9837]",2020,7,15,16.4
"[-33.9176, 150.9837]",2020,7,16,17.4
"[-33.9176, 150.9837]",2020,7,17,17
"[-33.9176, 150.9837]",2020,7,18,18.1
"[-33.9176, 150.9837]",2020,7,19,19.4
"[-33.9176, 150.9837]",2020,7,20,18
"[-33.9176, 150.9837]",2020,7,21,17.1
"[-33.9176, 150.9837]",2020,7,22,18.6
"[-33.9176, 150.9837]",2020,7,23,19.4
"[-33.9176, 150.9837]",2020,7,24,19.4
"[-33.9176, 150.9837]",2020,7,25,19
"[-33.9176, 150.9837]",2020,7,26,16
"[-33.9176, 150.9837]",2020,7,27,16.9
"[-33.9176, 150.9837]",2020,7,28,19
"[-33.9176, 150.9837]",2020,7,29,19.7
"[-33.9176, 150.9837]",2020,7,30,18.4
"[-33.9176, 150.9837]",2020,7,31,17.9
