Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-33.4288, 149.5559]",2020,7,1,15.4
"[-33.4288, 149.5559]",2020,7,2,16
"[-33.4288, 149.5559]",2020,7,3,10.7
"[-33.4288, 149.5559]",2020,7,4,8.2
"[-33.4288, 149.5559]",2020,7,5,9.2
"[-33.4288, 149.5559]",2020,7,6,14.8
"[-33.4288, 149.5559]",2020,7,7,13.2
"[-33.4288, 149.5559]",2020,7,8,14.1
"[-33.4288, 149.5559]",2020,7,9,15
"[-33.4288, 149.5559]",2020,7,10,10.5
"[-33.4288, 149.5559]",2020,7,11,13.5
"[-33.4288, 149.5559]",2020,7,12,12.8
"[-33.4288, 149.5559]",2020,7,13,12.1
"[-33.4288, 149.5559]",2020,7,14,12.8
"[-33.4288, 149.5559]",2020,7,15,11.5
"[-33.4288, 149.5559]",2020,7,16,12.1
"[-33.4288, 149.5559]",2020,7,17,15.4
"[-33.4288, 149.5559]",2020,7,18,13
"[-33.4288, 149.5559]",2020,7,19,13.7
"[-33.4288, 149.5559]",2020,7,20,10.2
"[-33.4288, 149.5559]",2020,7,21,15.2
"[-33.4288, 149.5559]",2020,7,22,15.4
"[-33.4288, 149.5559]",2020,7,23,15.5
"[-33.4288, 149.5559]",2020,7,24,17
"[-33.4288, 149.5559]",2020,7,25,15.7
"[-33.4288, 149.5559]",2020,7,26,11.3
"[-33.4288, 149.5559]",2020,7,27,12.7
"[-33.4288, 149.5559]",2020,7,28,15
"[-33.4288, 149.5559]",2020,7,29,14.8
"[-33.4288, 149.5559]",2020,7,30,15.3
"[-33.4288, 149.5559]",2020,7,31,14
