Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-36.7411, 144.3275]",2020,7,1,15.2
"[-36.7411, 144.3275]",2020,7,2,12
"[-36.7411, 144.3275]",2020,7,3,10.3
"[-36.7411, 144.3275]",2020,7,4,11.3
"[-36.7411, 144.3275]",2020,7,5,13.3
"[-36.7411, 144.3275]",2020,7,6,13.3
"[-36.7411, 144.3275]",2020,7,7,14.7
"[-36.7411, 144.3275]",2020,7,8,10.6
"[-36.7411, 144.3275]",2020,7,9,13.8
"[-36.7411, 144.3275]",2020,7,10,13.7
"[-36.7411, 144.3275]",2020,7,11,12.6
"[-36.7411, 144.3275]",2020,7,12,12.2
"[-36.7411, 144.3275]",2020,7,13,15.2
"[-36.7411, 144.3275]",2020,7,14,13.6
"[-36.7411, 144.3275]",2020,7,15,15.3
"[-36.7411, 144.3275]",2020,7,16,13
"[-36.7411, 144.3275]",2020,7,17,13.1
"[-36.7411, 144.3275]",2020,7,18,11.7
"[-36.7411, 144.3275]",2020,7,19,14.2
"[-36.7411, 144.3275]",2020,7,20,13
"[-36.7411, 144.3275]",2020,7,21,13.4
"[-36.7411, 144.3275]",2020,7,22,13.6
"[-36.7411, 144.3275]",2020,7,23,11.5
"[-36.7411, 144.3275]",2020,7,24,11.1
"[-36.7411, 144.3275]",2020,7,25,15.9
"[-36.7411, 144.3275]",2020,7,26,18.1
"[-36.7411, 144.3275]",2020,7,27,15.2
"[-36.7411, 144.3275]",2020,7,28,15
"[-36.7411, 144.3275]",2020,7,29,15.7
"[-36.7411, 144.3275]",2020,7,30,14.4
"[-36.7411, 144.3275]",2020,7,31,15
