Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-27.4808, 153.0389]",2020,7,1,22.5
"[-27.4808, 153.0389]",2020,7,2,23.4
"[-27.4808, 153.0389]",2020,7,3,24.8
"[-27.4808, 153.0389]",2020,7,4,20.7
"[-27.4808, 153.0389]",2020,7,5,21.1
"[-27.4808, 153.0389]",2020,7,6,22.8
"[-27.4808, 153.0389]",2020,7,7,23.3
"[-27.4808, 153.0389]",2020,7,8,23.9
"[-27.4808, 153.0389]",2020,7,9,19.7
"[-27.4808, 153.0389]",2020,7,10,22.5
"[-27.4808, 153.0389]",2020,7,11,24.3
"[-27.4808, 153.0389]",2020,7,12,22.8
"[-27.4808, 153.0389]",2020,7,13,20.9
"[-27.4808, 153.0389]",2020,7,14,18.4
"[-27.4808, 153.0389]",2020,7,15,22.6
"[-27.4808, 153.0389]",2020,7,16,21.8
"[-27.4808, 153.0389]",2020,7,17,22.7
"[-27.4808, 153.0389]",2020,7,18,23.6
"[-27.4808, 153.0389]",2020,7,19,25.1
"[-27.4808, 153.0389]",2020,7,20,25.4
"[-27.4808, 153.0389]",2020,7,21,21.5
"[-27.4808, 153.0389]",2020,7,22,19.2
"[-27.4808, 153.0389]",2020,7,23,17.3
"[-27.4808, 153.0389]",2020,7,24,20.4
"[-27.4808, 153.0389]",2020,7,25,20.8
"[-27.4808, 153.0389]",2020,7,26,23.5
"[-27.4808, 153.0389]",2020,7,27,19.3
"[-27.4808, 153.0389]",2020,7,28,21.7
"[-27.4808, 153.0389]",2020,7,29,23.3
"[-27.4808, 153.0389]",2020,7,30,24.2
"[-27.4808, 153.0389]",2020,7,31,22.8
