Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-32.0012, 141.4694]",2020,7,1,22.5
"[-32.0012, 141.4694]",2020,7,2,15.7
"[-32.0012, 141.4694]",2020,7,3,16.4
"[-32.0012, 141.4694]",2020,7,4,13.2
"[-32.0012, 141.4694]",2020,7,5,12.2
"[-32.0012, 141.4694]",2020,7,6,11.2
"[-32.0012, 141.4694]",2020,7,7,12.5
"[-32.0012, 141.4694]",2020,7,8,15.2
"[-32.0012, 141.4694]",2020,7,9,15.2
"[-32.0012, 141.4694]",2020,7,10,19.5
"[-32.0012, 141.4694]",2020,7,11,14.8
"[-32.0012, 141.4694]",2020,7,12,12.8
"[-32.0012, 141.4694]",2020,7,13,15.5
"[-32.0012, 141.4694]",2020,7,14,15.4
"[-32.0012, 141.4694]",2020,7,15,15.7
"[-32.0012, 141.4694]",2020,7,16,17.6
"[-32.0012, 141.4694]",2020,7,17,17.7
"[-32.0012, 141.4694]",2020,7,18,17.4
"[-32.0012, 141.4694]",2020,7,19,19.1
"[-32.0012, 141.4694]",2020,7,20,14.5
"[-32.0012, 141.4694]",2020,7,21,13.4
"[-32.0012, 141.4694]",2020,7,22,13.5
"[-32.0012, 141.4694]",2020,7,23,14.9
"[-32.0012, 141.4694]",2020,7,24,20
"[-32.0012, 141.4694]",2020,7,25,19.1
"[-32.0012, 141.4694]",2020,7,26,17.7
"[-32.0012, 141.4694]",2020,7,27,15.6
"[-32.0012, 141.4694]",2020,7,28,15.9
"[-32.0012, 141.4694]",2020,7,29,19.3
"[-32.0012, 141.4694]",2020,7,30,17
"[-32.0012, 141.4694]",2020,7,31,18.8
