Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-17.9475, 122.2352]",2020,7,1,32.2
"[-17.9475, 122.2352]",2020,7,2,32.1
"[-17.9475, 122.2352]",2020,7,3,32
"[-17.9475, 122.2352]",2020,7,4,33.5
"[-17.9475, 122.2352]",2020,7,5,29.3
"[-17.9475, 122.2352]",2020,7,6,30.1
"[-17.9475, 122.2352]",2020,7,7,29.7
"[-17.9475, 122.2352]",2020,7,8,29.3
"[-17.9475, 122.2352]",2020,7,9,31.1
"[-17.9475, 122.2352]",2020,7,10,32.2
"[-17.9475, 122.2352]",2020,7,11,30.5
"[-17.9475, 122.2352]",2020,7,12,30.2
"[-17.9475, 122.2352]",2020,7,13,31.3
"[-17.9475, 122.2352]",2020,7,14,30.4
"[-17.9475, 122.2352]",2020,7,15,28.1
"[-17.9475, 122.2352]",2020,7,16,29
"[-17.9475, 122.2352]",2020,7,17,30.4
"[-17.9475, 122.2352]",2020,7,18,28
"[-17.9475, 122.2352]",2020,7,19,29
"[-17.9475, 122.2352]",2020,7,20,29.6
"[-17.9475, 122.2352]",2020,7,21,31.8
"[-17.9475, 122.2352]",2020,7,22,30.9
"[-17.9475, 122.2352]",2020,7,23,29.1
"[-17.9475, 122.2352]",2020,7,24,28.8
"[-17.9475, 122.2352]",2020,7,25,29.7
"[-17.9475, 122.2352]",2020,7,26,29.9
"[-17.9475, 122.2352]",2020,7,27,29.6
"[-17.9475, 122.2352]",2020,7,28,31.3
"[-17.9475, 122.2352]",2020,7,29,31
"[-17.9475, 122.2352]",2020,7,30,31.7
"[-17.9475, 122.2352]",2020,7,31,32.8
