Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-33.3567, 115.6447]",2020,7,1,15.8
"[-33.3567, 115.6447]",2020,7,2,16.9
"[-33.3567, 115.6447]",2020,7,3,19
"[-33.3567, 115.6447]",2020,7,4,21.1
"[-33.3567, 115.6447]",2020,7,5,20.3
"[-33.3567, 115.6447]",2020,7,6,18.1
"[-33.3567, 115.6447]",2020,7,7,17.1
"[-33.3567, 115.6447]",2020,7,8,16.9
"[-33.3567, 115.6447]",2020,7,9,16
"[-33.3567, 115.6447]",2020,7,10,15
"[-33.3567, 115.6447]",2020,7,11,16.5
"[-33.3567, 115.6447]",2020,7,12,18.3
"[-33.3567, 115.6447]",2020,7,13,19.5
"[-33.3567, 115.6447]",2020,7,14,16.4
"[-33.3567, 115.6447]",2020,7,15,18.2
"[-33.3567, 115.6447]",2020,7,16,18.7
"[-33.3567, 115.6447]",2020,7,17,14.2
"[-33.3567, 115.6447]",2020,7,18,17.7
"[-33.3567, 115.6447]",2020,7,19,16.1
"[-33.3567, 115.6447]",2020,7,20,18.5
"[-33.3567, 115.6447]",2020,7,21,19.4
"[-33.3567, 115.6447]",2020,7,22,20.3
"[-33.3567, 115.6447]",2020,7,23,17.3
"[-33.3567, 115.6447]",2020,7,24,17.8
"[-33.3567, 115.6447]",2020,7,25,18.9
"[-33.3567, 115.6447]",2020,7,26,20.8
"[-33.3567, 115.6447]",2020,7,27,21.8
"[-33.3567, 115.6447]",2020,7,28,18.5
"[-33.3567, 115.6447]",2020,7,29,19.6
"[-33.3567, 115.6447]",2020,7,30,18.4
"[-33.3567, 115.6447]",2020,7,31,18.2
