Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-24.9069, 152.3230]",2020,7,1,23.4
"[-24.9069, 152.3230]",2020,7,2,23.7
"[-24.9069, 152.3230]",2020,7,3,24.7
"[-24.9069, 152.3230]",2020,7,4,21.4
"[-24.9069, 152.3230]",2020,7,5,21.5
"[-24.9069, 152.3230]",2020,7,6,22.7
"[-24.9069, 152.3230]",2020,7,7,23.6
"[-24.9069, 152.3230]",2020,7,8,22.3
"[-24.9069, 152.3230]",2020,7,9,23.2
"[-24.9069, 152.3230]",2020,7,10,23.6
"[-24.9069, 152.3230]",2020,7,11,24.5
"[-24.9069, 152.3230]",2020,7,12,25.5
"[-24.9069, 152.3230]",2020,7,13,22
"[-24.9069, 152.3230]",2020,7,14,19.7
"[-24.9069, 152.3230]",2020,7,15,21.5
"[-24.9069, 152.3230]",2020,7,16,22.4
"[-24.9069, 152.3230]",2020,7,17,22.2
"[-24.9069, 152.3230]",2020,7,18,23.6
"[-24.9069, 152.3230]",2020,7,19,24.9
"[-24.9069, 152.3230]",2020,7,20,25.8
"[-24.9069, 152.3230]",2020,7,21,22.5
"[-24.9069, 152.3230]",2020,7,22,18.9
"[-24.9069, 152.3230]",2020,7,23,17.6
"[-24.9069, 152.3230]",2020,7,24,21
"[-24.9069, 152.3230]",2020,7,25,21.1
"[-24.9069, 152.3230]",2020,7,26,24.5
"[-24.9069, 152.3230]",2020,7,27,21.7
"[-24.9069, 152.3230]",2020,7,28,22.4
"[-24.9069, 152.3230]",2020,7,29,21.1
"[-24.9069, 152.3230]",2020,7,30,24.6
"[-24.9069, 152.3230]",2020,7,31,23.8
