Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-41.0500, 145.9149]",2020,7,1,13.8
"[-41.0500, 145.9149]",2020,7,2,12.5
"[-41.0500, 145.9149]",2020,7,3,11.5
"[-41.0500, 145.9149]",2020,7,4,13.9
"[-41.0500, 145.9149]",2020,7,5,15.2
"[-41.0500, 145.9149]",2020,7,6,14.2
"[-41.0500, 145.9149]",2020,7,7,10.4
"[-41.0500, 145.9149]",2020,7,8,10.2
"[-41.0500, 145.9149]",2020,7,9,12
"[-41.0500, 145.9149]",2020,7,10,12
"[-41.0500, 145.9149]",2020,7,11,11.6
"[-41.0500, 145.9149]",2020,7,12,12.9
"[-41.0500, 145.9149]",2020,7,13,12.2
"[-41.0500, 145.9149]",2020,7,14,11.7
"[-41.0500, 145.9149]",2020,7,15,11.1
"[-41.0500, 145.9149]",2020,7,16,11.7
"[-41.0500, 145.9149]",2020,7,17,11.8
"[-41.0500, 145.9149]",2020,7,18,12.5
"[-41.0500, 145.9149]",2020,7,19,12.4
"[-41.0500, 145.9149]",2020,7,20,11.6
"[-41.0500, 145.9149]",2020,7,21,14.3
"[-41.0500, 145.9149]",2020,7,22,13
"[-41.0500, 145.9149]",2020,7,23,12.7
"[-41.0500, 145.9149]",2020,7,24,10.1
"[-41.0500, 145.9149]",2020,7,25,10.7
"[-41.0500, 145.9149]",2020,7,26,11.6
"[-41.0500, 145.9149]",2020,7,27,14.5
"[-41.0500, 145.9149]",2020,7,28,13.2
"[-41.0500, 145.9149]",2020,7,29,12.3
"[-41.0500, 145.9149]",2020,7,30,14.1
"[-41.0500, 145.9149]",2020,7,31,12.4
