Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-33.6818, 115.4026]",2020,7,1,15.3
"[-33.6818, 115.4026]",2020,7,2,16.3
"[-33.6818, 115.4026]",2020,7,3,18
"[-33.6818, 115.4026]",2020,7,4,18.7
"[-33.6818, 115.4026]",2020,7,5,18.4
"[-33.6818, 115.4026]",2020,7,6,
"[-33.6818, 115.4026]",2020,7,7,16.7
"[-33.6818, 115.4026]",2020,7,8,16.9
"[-33.6818, 115.4026]",2020,7,9,15.1
"[-33.6818, 115.4026]",2020,7,10,14.2
"[-33.6818, 115.4026]",2020,7,11,14.6
"[-33.6818, 115.4026]",2020,7,12,18.5
"[-33.6818, 115.4026]",2020,7,13,18.6
"[-33.6818, 115.4026]",2020,7,14,15.8
"[-33.6818, 115.4026]",2020,7,15,17.7
"[-33.6818, 115.4026]",2020,7,16,18.4
"[-33.6818, 115.4026]",2020,7,17,14.3
"[-33.6818, 115.4026]",2020,7,18,18.1
"[-33.6818, 115.4026]",2020,7,19,15.8
"[-33.6818, 115.4026]",2020,7,20,16.8
"[-33.6818, 115.4026]",2020,7,21,18.3
"[-33.6818, 115.4026]",2020,7,22,19.5
"[-33.6818, 115.4026]",2020,7,23,17.6
"[-33.6818, 115.4026]",2020,7,24,16.8
"[-33.6818, 115.4026]",2020,7,25,18.7
"[-33.6818, 115.4026]",2020,7,26,19.5
"[-33.6818, 115.4026]",2020,7,27,20.7
"[-33.6818, 115.4026]",2020,7,28,18.1
"[-33.6818, 115.4026]",2020,7,29,18.6
"[-33.6818, 115.4026]",2020,7,30,18.4
"[-33.6818, 115.4026]",2020,7,31,17.6
