Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-16.9463, 145.7474]",2020,7,1,23.5
"[-16.9463, 145.7474]",2020,7,2,25.3
"[-16.9463, 145.7474]",2020,7,3,26.5
"[-16.9463, 145.7474]",2020,7,4,27
"[-16.9463, 145.7474]",2020,7,5,24.9
"[-16.9463, 145.7474]",2020,7,6,25.2
"[-16.9463, 145.7474]",2020,7,7,26.8
"[-16.9463, 145.7474]",2020,7,8,26.7
"[-16.9463, 145.7474]",2020,7,9,27.1
"[-16.9463, 145.7474]",2020,7,10,26.8
"[-16.9463, 145.7474]",2020,7,11,27.3
"[-16.9463, 145.7474]",2020,7,12,25
"[-16.9463, 145.7474]",2020,7,13,26.4
"[-16.9463, 145.7474]",2020,7,14,24.9
"[-16.9463, 145.7474]",2020,7,15,24.9
"[-16.9463, 145.7474]",2020,7,16,24.8
"[-16.9463, 145.7474]",2020,7,17,24.8
"[-16.9463, 145.7474]",2020,7,18,24.4
"[-16.9463, 145.7474]",2020,7,19,25
"[-16.9463, 145.7474]",2020,7,20,26
"[-16.9463, 145.7474]",2020,7,21,23.3
"[-16.9463, 145.7474]",2020,7,22,25.7
"[-16.9463, 145.7474]",2020,7,23,26.3
"[-16.9463, 145.7474]",2020,7,24,25.9
"[-16.9463, 145.7474]",2020,7,25,26.7
"[-16.9463, 145.7474]",2020,7,26,27.8
"[-16.9463, 145.7474]",2020,7,27,27.5
"[-16.9463, 145.7474]",2020,7,28,26.2
"[-16.9463, 145.7474]",2020,7,29,24.4
"[-16.9463, 145.7474]",2020,7,30,26.1
"[-16.9463, 145.7474]",2020,7,31,25.8
