Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-35.3088, 149.2004]",2020,7,1,15.1
"[-35.3088, 149.2004]",2020,7,2,14
"[-35.3088, 149.2004]",2020,7,3,11.6
"[-35.3088, 149.2004]",2020,7,4,11.4
"[-35.3088, 149.2004]",2020,7,5,13.5
"[-35.3088, 149.2004]",2020,7,6,9.5
"[-35.3088, 149.2004]",2020,7,7,13.9
"[-35.3088, 149.2004]",2020,7,8,11.9
"[-35.3088, 149.2004]",2020,7,9,14.5
"[-35.3088, 149.2004]",2020,7,10,15.1
"[-35.3088, 149.2004]",2020,7,11,8.5
"[-35.3088, 149.2004]",2020,7,12,11.7
"[-35.3088, 149.2004]",2020,7,13,11.7
"[-35.3088, 149.2004]",2020,7,14,12.6
"[-35.3088, 149.2004]",2020,7,15,12.5
"[-35.3088, 149.2004]",2020,7,16,12.8
"[-35.3088, 149.2004]",2020,7,17,14.4
"[-35.3088, 149.2004]",2020,7,18,12.9
"[-35.3088, 149.2004]",2020,7,19,13.8
"[-35.3088, 149.2004]",2020,7,20,13.8
"[-35.3088, 149.2004]",2020,7,21,13.8
"[-35.3088, 149.2004]",2020,7,22,14.3
"[-35.3088, 149.2004]",2020,7,23,11.8
"[-35.3088, 149.2004]",2020,7,24,14.7
"[-35.3088, 149.2004]",2020,7,25,15.1
"[-35.3088, 149.2004]",2020,7,26,12
"[-35.3088, 149.2004]",2020,7,27,12.2
"[-35.3088, 149.2004]",2020,7,28,15.6
"[-35.3088, 149.2004]",2020,7,29,15.7
"[-35.3088, 149.2004]",2020,7,30,14.7
"[-35.3088, 149.2004]",2020,7,31,13.5
