Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-18.2544, 146.0192]",2020,7,1,22.6
"[-18.2544, 146.0192]",2020,7,2,25.1
"[-18.2544, 146.0192]",2020,7,3,
"[-18.2544, 146.0192]",2020,7,4,
"[-18.2544, 146.0192]",2020,7,5,26
"[-18.2544, 146.0192]",2020,7,6,23.4
"[-18.2544, 146.0192]",2020,7,7,24.3
"[-18.2544, 146.0192]",2020,7,8,23.5
"[-18.2544, 146.0192]",2020,7,9,24
"[-18.2544, 146.0192]",2020,7,10,
"[-18.2544, 146.0192]",2020,7,11,25.1
"[-18.2544, 146.0192]",2020,7,12,25
"[-18.2544, 146.0192]",2020,7,13,25.9
"[-18.2544, 146.0192]",2020,7,14,23.6
"[-18.2544, 146.0192]",2020,7,15,23.1
"[-18.2544, 146.0192]",2020,7,16,24.3
"[-18.2544, 146.0192]",2020,7,17,
"[-18.2544, 146.0192]",2020,7,18,23.1
"[-18.2544, 146.0192]",2020,7,19,23.7
"[-18.2544, 146.0192]",2020,7,20,24.8
"[-18.2544, 146.0192]",2020,7,21,22.2
"[-18.2544, 146.0192]",2020,7,22,21.3
"[-18.2544, 146.0192]",2020,7,23,
"[-18.2544, 146.0192]",2020,7,24,24.2
"[-18.2544, 146.0192]",2020,7,25,
"[-18.2544, 146.0192]",2020,7,26,26
"[-18.2544, 146.0192]",2020,7,27,26
"[-18.2544, 146.0192]",2020,7,28,27.2
"[-18.2544, 146.0192]",2020,7,29,24.4
"[-18.2544, 146.0192]",2020,7,30,25.9
"[-18.2544, 146.0192]",2020,7,31,
