Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-32.7886, 151.3377]",2020,7,1,20
"[-32.7886, 151.3377]",2020,7,2,22.7
"[-32.7886, 151.3377]",2020,7,3,19.6
"[-32.7886, 151.3377]",2020,7,4,16.4
"[-32.7886, 151.3377]",2020,7,5,18.3
"[-32.7886, 151.3377]",2020,7,6,18.4
"[-32.7886, 151.3377]",2020,7,7,17.8
"[-32.7886, 151.3377]",2020,7,8,17.7
"[-32.7886, 151.3377]",2020,7,9,19.1
"[-32.7886, 151.3377]",2020,7,10,16.3
"[-32.7886, 151.3377]",2020,7,11,17.4
"[-32.7886, 151.3377]",2020,7,12,20
"[-32.7886, 151.3377]",2020,7,13,16.2
"[-32.7886, 151.3377]",2020,7,14,16
"[-32.7886, 151.3377]",2020,7,15,16.9
"[-32.7886, 151.3377]",2020,7,16,17
"[-32.7886, 151.3377]",2020,7,17,16.7
"[-32.7886, 151.3377]",2020,7,18,17
"[-32.7886, 151.3377]",2020,7,19,19.9
"[-32.7886, 151.3377]",2020,7,20,19.4
"[-32.7886, 151.3377]",2020,7,21,16.9
"[-32.7886, 151.3377]",2020,7,22,16.9
"[-32.7886, 151.3377]",2020,7,23,19.8
"[-32.7886, 151.3377]",2020,7,24,18.9
"[-32.7886, 151.3377]",2020,7,25,17.7
"[-32.7886, 151.3377]",2020,7,26,14.8
"[-32.7886, 151.3377]",2020,7,27,17.1
"[-32.7886, 151.3377]",2020,7,28,13.8
"[-32.7886, 151.3377]",2020,7,29,19.4
"[-32.7886, 151.3377]",2020,7,30,19.5
"[-32.7886, 151.3377]",2020,7,31,17.3
