Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-30.3189, 153.1162]",2020,7,1,21.8
"[-30.3189, 153.1162]",2020,7,2,23.1
"[-30.3189, 153.1162]",2020,7,3,22.7
"[-30.3189, 153.1162]",2020,7,4,17.8
"[-30.3189, 153.1162]",2020,7,5,19
"[-30.3189, 153.1162]",2020,7,6,19.5
"[-30.3189, 153.1162]",2020,7,7,19.5
"[-30.3189, 153.1162]",2020,7,8,17
"[-30.3189, 153.1162]",2020,7,9,19
"[-30.3189, 153.1162]",2020,7,10,19.5
"[-30.3189, 153.1162]",2020,7,11,20.2
"[-30.3189, 153.1162]",2020,7,12,19.7
"[-30.3189, 153.1162]",2020,7,13,18.9
"[-30.3189, 153.1162]",2020,7,14,18.3
"[-30.3189, 153.1162]",2020,7,15,20.2
"[-30.3189, 153.1162]",2020,7,16,20.7
"[-30.3189, 153.1162]",2020,7,17,21
"[-30.3189, 153.1162]",2020,7,18,19.9
"[-30.3189, 153.1162]",2020,7,19,20.3
"[-30.3189, 153.1162]",2020,7,20,21.3
"[-30.3189, 153.1162]",2020,7,21,19
"[-30.3189, 153.1162]",2020,7,22,16.6
"[-30.3189, 153.1162]",2020,7,23,19.4
"[-30.3189, 153.1162]",2020,7,24,17.3
"[-30.3189, 153.1162]",2020,7,25,15.9
"[-30.3189, 153.1162]",2020,7,26,18
"[-30.3189, 153.1162]",2020,7,27,23
"[-30.3189, 153.1162]",2020,7,28,20.3
"[-30.3189, 153.1162]",2020,7,29,21.1
"[-30.3189, 153.1162]",2020,7,30,20.5
"[-30.3189, 153.1162]",2020,7,31,18.7
