Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-12.4719, 130.8458]",2020,7,1,28.6
"[-12.4719, 130.8458]",2020,7,2,30.3
"[-12.4719, 130.8458]",2020,7,3,31.6
"[-12.4719, 130.8458]",2020,7,4,31
"[-12.4719, 130.8458]",2020,7,5,28.7
"[-12.4719, 130.8458]",2020,7,6,30.1
"[-12.4719, 130.8458]",2020,7,7,29.2
"[-12.4719, 130.8458]",2020,7,8,30.1
"[-12.4719, 130.8458]",2020,7,9,30.5
"[-12.4719, 130.8458]",2020,7,10,31
"[-12.4719, 130.8458]",2020,7,11,31.8
"[-12.4719, 130.8458]",2020,7,12,31.6
"[-12.4719, 130.8458]",2020,7,13,30.2
"[-12.4719, 130.8458]",2020,7,14,30
"[-12.4719, 130.8458]",2020,7,15,30.3
"[-12.4719, 130.8458]",2020,7,16,30.1
"[-12.4719, 130.8458]",2020,7,17,29.1
"[-12.4719, 130.8458]",2020,7,18,28.3
"[-12.4719, 130.8458]",2020,7,19,28.3
"[-12.4719, 130.8458]",2020,7,20,29
"[-12.4719, 130.8458]",2020,7,21,30.2
"[-12.4719, 130.8458]",2020,7,22,30.3
"[-12.4719, 130.8458]",2020,7,23,29.5
"[-12.4719, 130.8458]",2020,7,24,29.2
"[-12.4719, 130.8458]",2020,7,25,30.8
"[-12.4719, 130.8458]",2020,7,26,30.2
"[-12.4719, 130.8458]",2020,7,27,30
"[-12.4719, 130.8458]",2020,7,28,30.7
"[-12.4719, 130.8458]",2020,7,29,29.7
"[-12.4719, 130.8458]",2020,7,30,29.5
"[-12.4719, 130.8458]",2020,7,31,30.7
