Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-41.1701, 146.4289]",2020,7,1,14.4
"[-41.1701, 146.4289]",2020,7,2,13.2
"[-41.1701, 146.4289]",2020,7,3,11.9
"[-41.1701, 146.4289]",2020,7,4,15.3
"[-41.1701, 146.4289]",2020,7,5,17.2
"[-41.1701, 146.4289]",2020,7,6,16
"[-41.1701, 146.4289]",2020,7,7,11.1
"[-41.1701, 146.4289]",2020,7,8,9.3
"[-41.1701, 146.4289]",2020,7,9,11.9
"[-41.1701, 146.4289]",2020,7,10,13.6
"[-41.1701, 146.4289]",2020,7,11,14.1
"[-41.1701, 146.4289]",2020,7,12,14.8
"[-41.1701, 146.4289]",2020,7,13,13.2
"[-41.1701, 146.4289]",2020,7,14,12.7
"[-41.1701, 146.4289]",2020,7,15,12.2
"[-41.1701, 146.4289]",2020,7,16,13.6
"[-41.1701, 146.4289]",2020,7,17,12.6
"[-41.1701, 146.4289]",2020,7,18,12.9
"[-41.1701, 146.4289]",2020,7,19,13.9
"[-41.1701, 146.4289]",2020,7,20,13.4
"[-41.1701, 146.4289]",2020,7,21,15.5
"[-41.1701, 146.4289]",2020,7,22,14.9
"[-41.1701, 146.4289]",2020,7,23,12.8
"[-41.1701, 146.4289]",2020,7,24,9.8
"[-41.1701, 146.4289]",2020,7,25,13.3
"[-41.1701, 146.4289]",2020,7,26,12.5
"[-41.1701, 146.4289]",2020,7,27,13.2
"[-41.1701, 146.4289]",2020,7,28,14.3
"[-41.1701, 146.4289]",2020,7,29,13.1
"[-41.1701, 146.4289]",2020,7,30,14.4
"[-41.1701, 146.4289]",2020,7,31,13.3
