Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-32.2206, 148.5753]",2020,7,1,19.7
"[-32.2206, 148.5753]",2020,7,2,20.6
"[-32.2206, 148.5753]",2020,7,3,14.8
"[-32.2206, 148.5753]",2020,7,4,11
"[-32.2206, 148.5753]",2020,7,5,13.4
"[-32.2206, 148.5753]",2020,7,6,16.4
"[-32.2206, 148.5753]",2020,7,7,16.7
"[-32.2206, 148.5753]",2020,7,8,17
"[-32.2206, 148.5753]",2020,7,9,18.5
"[-32.2206, 148.5753]",2020,7,10,12.4
"[-32.2206, 148.5753]",2020,7,11,14.7
"[-32.2206, 148.5753]",2020,7,12,16.1
"[-32.2206, 148.5753]",2020,7,13,10.5
"[-32.2206, 148.5753]",2020,7,14,15.5
"[-32.2206, 148.5753]",2020,7,15,16.1
"[-32.2206, 148.5753]",2020,7,16,14.2
"[-32.2206, 148.5753]",2020,7,17,16
"[-32.2206, 148.5753]",2020,7,18,16.8
"[-32.2206, 148.5753]",2020,7,19,17.6
"[-32.2206, 148.5753]",2020,7,20,14
"[-32.2206, 148.5753]",2020,7,21,14.8
"[-32.2206, 148.5753]",2020,7,22,17.6
"[-32.2206, 148.5753]",2020,7,23,18.4
"[-32.2206, 148.5753]",2020,7,24,19.1
"[-32.2206, 148.5753]",2020,7,25,12.1
"[-32.2206, 148.5753]",2020,7,26,14
"[-32.2206, 148.5753]",2020,7,27,12.6
"[-32.2206, 148.5753]",2020,7,28,16.9
"[-32.2206, 148.5753]",2020,7,29,18.4
"[-32.2206, 148.5753]",2020,7,30,17.2
"[-32.2206, 148.5753]",2020,7,31,17.2
