Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-36.1647, 144.7642]",2020,7,1,17
"[-36.1647, 144.7642]",2020,7,2,13.6
"[-36.1647, 144.7642]",2020,7,3,12.7
"[-36.1647, 144.7642]",2020,7,4,12.1
"[-36.1647, 144.7642]",2020,7,5,14.4
"[-36.1647, 144.7642]",2020,7,6,13.7
"[-36.1647, 144.7642]",2020,7,7,15
"[-36.1647, 144.7642]",2020,7,8,11.4
"[-36.1647, 144.7642]",2020,7,9,14.2
"[-36.1647, 144.7642]",2020,7,10,16.8
"[-36.1647, 144.7642]",2020,7,11,13.5
"[-36.1647, 144.7642]",2020,7,12,11.4
"[-36.1647, 144.7642]",2020,7,13,15.5
"[-36.1647, 144.7642]",2020,7,14,15
"[-36.1647, 144.7642]",2020,7,15,14.3
"[-36.1647, 144.7642]",2020,7,16,12.5
"[-36.1647, 144.7642]",2020,7,17,14.3
"[-36.1647, 144.7642]",2020,7,18,12
"[-36.1647, 144.7642]",2020,7,19,16.5
"[-36.1647, 144.7642]",2020,7,20,14.2
"[-36.1647, 144.7642]",2020,7,21,12.6
"[-36.1647, 144.7642]",2020,7,22,12.3
"[-36.1647, 144.7642]",2020,7,23,12.6
"[-36.1647, 144.7642]",2020,7,24,10.7
"[-36.1647, 144.7642]",2020,7,25,15.5
"[-36.1647, 144.7642]",2020,7,26,17
"[-36.1647, 144.7642]",2020,7,27,14.4
"[-36.1647, 144.7642]",2020,7,28,16.5
"[-36.1647, 144.7642]",2020,7,29,16.2
"[-36.1647, 144.7642]",2020,7,30,15
"[-36.1647, 144.7642]",2020,7,31,15.8
