Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-37.7276, 144.9066]",2020,7,1,16.2
"[-37.7276, 144.9066]",2020,7,2,14.4
"[-37.7276, 144.9066]",2020,7,3,10.2
"[-37.7276, 144.9066]",2020,7,4,13.5
"[-37.7276, 144.9066]",2020,7,5,12.8
"[-37.7276, 144.9066]",2020,7,6,13.7
"[-37.7276, 144.9066]",2020,7,7,11.7
"[-37.7276, 144.9066]",2020,7,8,14.6
"[-37.7276, 144.9066]",2020,7,9,16.1
"[-37.7276, 144.9066]",2020,7,10,15.5
"[-37.7276, 144.9066]",2020,7,11,11.4
"[-37.7276, 144.9066]",2020,7,12,13
"[-37.7276, 144.9066]",2020,7,13,14.5
"[-37.7276, 144.9066]",2020,7,14,13.7
"[-37.7276, 144.9066]",2020,7,15,14.3
"[-37.7276, 144.9066]",2020,7,16,12.8
"[-37.7276, 144.9066]",2020,7,17,12.1
"[-37.7276, 144.9066]",2020,7,18,11.4
"[-37.7276, 144.9066]",2020,7,19,15.4
"[-37.7276, 144.9066]",2020,7,20,13.1
"[-37.7276, 144.9066]",2020,7,21,11.9
"[-37.7276, 144.9066]",2020,7,22,12.2
"[-37.7276, 144.9066]",2020,7,23,11.6
"[-37.7276, 144.9066]",2020,7,24,12.6
"[-37.7276, 144.9066]",2020,7,25,12.1
"[-37.7276, 144.9066]",2020,7,26,11.4
"[-37.7276, 144.9066]",2020,7,27,13.2
"[-37.7276, 144.9066]",2020,7,28,14.5
"[-37.7276, 144.9066]",2020,7,29,15.8
"[-37.7276, 144.9066]",2020,7,30,14.3
"[-37.7276, 144.9066]",2020,7,31,16.3
