Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-38.1516, 145.1615]",2020,7,1,
"[-38.1516, 145.1615]",2020,7,2,13.7
"[-38.1516, 145.1615]",2020,7,3,9.2
"[-38.1516, 145.1615]",2020,7,4,12.5
"[-38.1516, 145.1615]",2020,7,5,13.2
"[-38.1516, 145.1615]",2020,7,6,13.2
"[-38.1516, 145.1615]",2020,7,7,12.6
"[-38.1516, 145.1615]",2020,7,8,14.3
"[-38.1516, 145.1615]",2020,7,9,16.2
"[-38.1516, 145.1615]",2020,7,10,15
"[-38.1516, 145.1615]",2020,7,11,11.1
"[-38.1516, 145.1615]",2020,7,12,14.5
"[-38.1516, 145.1615]",2020,7,13,15
"[-38.1516, 145.1615]",2020,7,14,13.8
"[-38.1516, 145.1615]",2020,7,15,13.7
"[-38.1516, 145.1615]",2020,7,16,12.3
"[-38.1516, 145.1615]",2020,7,17,12.5
"[-38.1516, 145.1615]",2020,7,18,13.4
"[-38.1516, 145.1615]",2020,7,19,15.3
"[-38.1516, 145.1615]",2020,7,20,12.5
"[-38.1516, 145.1615]",2020,7,21,11.4
"[-38.1516, 145.1615]",2020,7,22,12.6
"[-38.1516, 145.1615]",2020,7,23,10.8
"[-38.1516, 145.1615]",2020,7,24,12.8
"[-38.1516, 145.1615]",2020,7,25,12.1
"[-38.1516, 145.1615]",2020,7,26,12.5
"[-38.1516, 145.1615]",2020,7,27,14
"[-38.1516, 145.1615]",2020,7,28,15
"[-38.1516, 145.1615]",2020,7,29,13.6
"[-38.1516, 145.1615]",2020,7,30,14.1
"[-38.1516, 145.1615]",2020,7,31,14.8
