Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-38.1737, 144.3765]",2020,7,1,19.1
"[-38.1737, 144.3765]",2020,7,2,14
"[-38.1737, 144.3765]",2020,7,3,10.7
"[-38.1737, 144.3765]",2020,7,4,15.5
"[-38.1737, 144.3765]",2020,7,5,13.5
"[-38.1737, 144.3765]",2020,7,6,13.6
"[-38.1737, 144.3765]",2020,7,7,12.5
"[-38.1737, 144.3765]",2020,7,8,14.2
"[-38.1737, 144.3765]",2020,7,9,15.1
"[-38.1737, 144.3765]",2020,7,10,14.5
"[-38.1737, 144.3765]",2020,7,11,12.1
"[-38.1737, 144.3765]",2020,7,12,14.8
"[-38.1737, 144.3765]",2020,7,13,14.9
"[-38.1737, 144.3765]",2020,7,14,13.3
"[-38.1737, 144.3765]",2020,7,15,13.8
"[-38.1737, 144.3765]",2020,7,16,14.3
"[-38.1737, 144.3765]",2020,7,17,11.2
"[-38.1737, 144.3765]",2020,7,18,13.6
"[-38.1737, 144.3765]",2020,7,19,15.8
"[-38.1737, 144.3765]",2020,7,20,13.8
"[-38.1737, 144.3765]",2020,7,21,12.4
"[-38.1737, 144.3765]",2020,7,22,13.5
"[-38.1737, 144.3765]",2020,7,23,12.4
"[-38.1737, 144.3765]",2020,7,24,12.4
"[-38.1737, 144.3765]",2020,7,25,13.7
"[-38.1737, 144.3765]",2020,7,26,13.2
"[-38.1737, 144.3765]",2020,7,27,14.9
"[-38.1737, 144.3765]",2020,7,28,13.6
"[-38.1737, 144.3765]",2020,7,29,15.4
"[-38.1737, 144.3765]",2020,7,30,15.4
"[-38.1737, 144.3765]",2020,7,31,16.1
