Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-28.8047, 114.6989]",2020,7,1,18.8
"[-28.8047, 114.6989]",2020,7,2,18.4
"[-28.8047, 114.6989]",2020,7,3,24.8
"[-28.8047, 114.6989]",2020,7,4,26.9
"[-28.8047, 114.6989]",2020,7,5,27.9
"[-28.8047, 114.6989]",2020,7,6,20.9
"[-28.8047, 114.6989]",2020,7,7,18.7
"[-28.8047, 114.6989]",2020,7,8,19
"[-28.8047, 114.6989]",2020,7,9,20
"[-28.8047, 114.6989]",2020,7,10,20.6
"[-28.8047, 114.6989]",2020,7,11,22.9
"[-28.8047, 114.6989]",2020,7,12,26.8
"[-28.8047, 114.6989]",2020,7,13,23.8
"[-28.8047, 114.6989]",2020,7,14,19.1
"[-28.8047, 114.6989]",2020,7,15,20.9
"[-28.8047, 114.6989]",2020,7,16,20.6
"[-28.8047, 114.6989]",2020,7,17,17.6
"[-28.8047, 114.6989]",2020,7,18,18.5
"[-28.8047, 114.6989]",2020,7,19,18.9
"[-28.8047, 114.6989]",2020,7,20,20.2
"[-28.8047, 114.6989]",2020,7,21,24
"[-28.8047, 114.6989]",2020,7,22,24.8
"[-28.8047, 114.6989]",2020,7,23,19.9
"[-28.8047, 114.6989]",2020,7,24,21
"[-28.8047, 114.6989]",2020,7,25,25.5
"[-28.8047, 114.6989]",2020,7,26,25.1
"[-28.8047, 114.6989]",2020,7,27,24.2
"[-28.8047, 114.6989]",2020,7,28,21.8
"[-28.8047, 114.6989]",2020,7,29,22
"[-28.8047, 114.6989]",2020,7,30,23.8
"[-28.8047, 114.6989]",2020,7,31,21.7
