Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-23.8697, 151.2214]",2020,7,1,23.8
"[-23.8697, 151.2214]",2020,7,2,24.3
"[-23.8697, 151.2214]",2020,7,3,24.5
"[-23.8697, 151.2214]",2020,7,4,24
"[-23.8697, 151.2214]",2020,7,5,21.9
"[-23.8697, 151.2214]",2020,7,6,22
"[-23.8697, 151.2214]",2020,7,7,24.4
"[-23.8697, 151.2214]",2020,7,8,23.1
"[-23.8697, 151.2214]",2020,7,9,24.4
"[-23.8697, 151.2214]",2020,7,10,24.2
"[-23.8697, 151.2214]",2020,7,11,24.6
"[-23.8697, 151.2214]",2020,7,12,25.1
"[-23.8697, 151.2214]",2020,7,13,24
"[-23.8697, 151.2214]",2020,7,14,21.8
"[-23.8697, 151.2214]",2020,7,15,24.5
"[-23.8697, 151.2214]",2020,7,16,23.9
"[-23.8697, 151.2214]",2020,7,17,21.8
"[-23.8697, 151.2214]",2020,7,18,23
"[-23.8697, 151.2214]",2020,7,19,24.5
"[-23.8697, 151.2214]",2020,7,20,25.8
"[-23.8697, 151.2214]",2020,7,21,23.2
"[-23.8697, 151.2214]",2020,7,22,19.5
"[-23.8697, 151.2214]",2020,7,23,19.2
"[-23.8697, 151.2214]",2020,7,24,24.1
"[-23.8697, 151.2214]",2020,7,25,24.2
"[-23.8697, 151.2214]",2020,7,26,26.5
"[-23.8697, 151.2214]",2020,7,27,23.7
"[-23.8697, 151.2214]",2020,7,28,22.4
"[-23.8697, 151.2214]",2020,7,29,24.4
"[-23.8697, 151.2214]",2020,7,30,25
"[-23.8697, 151.2214]",2020,7,31,24.9
