Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-27.9390, 153.4283]",2020,7,1,21.1
"[-27.9390, 153.4283]",2020,7,2,23.3
"[-27.9390, 153.4283]",2020,7,3,24.1
"[-27.9390, 153.4283]",2020,7,4,20.9
"[-27.9390, 153.4283]",2020,7,5,19.8
"[-27.9390, 153.4283]",2020,7,6,21.6
"[-27.9390, 153.4283]",2020,7,7,21.1
"[-27.9390, 153.4283]",2020,7,8,22.2
"[-27.9390, 153.4283]",2020,7,9,20.4
"[-27.9390, 153.4283]",2020,7,10,20.9
"[-27.9390, 153.4283]",2020,7,11,22.4
"[-27.9390, 153.4283]",2020,7,12,23.5
"[-27.9390, 153.4283]",2020,7,13,21.2
"[-27.9390, 153.4283]",2020,7,14,19.5
"[-27.9390, 153.4283]",2020,7,15,21.9
"[-27.9390, 153.4283]",2020,7,16,21.6
"[-27.9390, 153.4283]",2020,7,17,20.9
"[-27.9390, 153.4283]",2020,7,18,21.9
"[-27.9390, 153.4283]",2020,7,19,22.1
"[-27.9390, 153.4283]",2020,7,20,23
"[-27.9390, 153.4283]",2020,7,21,21.5
"[-27.9390, 153.4283]",2020,7,22,18.3
"[-27.9390, 153.4283]",2020,7,23,19.1
"[-27.9390, 153.4283]",2020,7,24,19.1
"[-27.9390, 153.4283]",2020,7,25,20.5
"[-27.9390, 153.4283]",2020,7,26,22.9
"[-27.9390, 153.4283]",2020,7,27,20.2
"[-27.9390, 153.4283]",2020,7,28,22.4
"[-27.9390, 153.4283]",2020,7,29,22.8
"[-27.9390, 153.4283]",2020,7,30,22.8
"[-27.9390, 153.4283]",2020,7,31,21.7
