Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-34.7495, 149.7034]",2020,7,1,15.7
"[-34.7495, 149.7034]",2020,7,2,13.9
"[-34.7495, 149.7034]",2020,7,3,9.6
"[-34.7495, 149.7034]",2020,7,4,8.8
"[-34.7495, 149.7034]",2020,7,5,10.7
"[-34.7495, 149.7034]",2020,7,6,10.6
"[-34.7495, 149.7034]",2020,7,7,13
"[-34.7495, 149.7034]",2020,7,8,13
"[-34.7495, 149.7034]",2020,7,9,13.3
"[-34.7495, 149.7034]",2020,7,10,14
"[-34.7495, 149.7034]",2020,7,11,11.2
"[-34.7495, 149.7034]",2020,7,12,11.1
"[-34.7495, 149.7034]",2020,7,13,11
"[-34.7495, 149.7034]",2020,7,14,11.4
"[-34.7495, 149.7034]",2020,7,15,11.1
"[-34.7495, 149.7034]",2020,7,16,11
"[-34.7495, 149.7034]",2020,7,17,12.5
"[-34.7495, 149.7034]",2020,7,18,12.9
"[-34.7495, 149.7034]",2020,7,19,13.6
"[-34.7495, 149.7034]",2020,7,20,9.7
"[-34.7495, 149.7034]",2020,7,21,12
"[-34.7495, 149.7034]",2020,7,22,13.8
"[-34.7495, 149.7034]",2020,7,23,13.6
"[-34.7495, 149.7034]",2020,7,24,16
"[-34.7495, 149.7034]",2020,7,25,15.7
"[-34.7495, 149.7034]",2020,7,26,11.6
"[-34.7495, 149.7034]",2020,7,27,11.8
"[-34.7495, 149.7034]",2020,7,28,14.1
"[-34.7495, 149.7034]",2020,7,29,14.3
"[-34.7495, 149.7034]",2020,7,30,13
"[-34.7495, 149.7034]",2020,7,31,12.9
