Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-34.2487, 146.0695]",2020,7,1,18.5
"[-34.2487, 146.0695]",2020,7,2,15.9
"[-34.2487, 146.0695]",2020,7,3,14.3
"[-34.2487, 146.0695]",2020,7,4,12.1
"[-34.2487, 146.0695]",2020,7,5,13.8
"[-34.2487, 146.0695]",2020,7,6,13.2
"[-34.2487, 146.0695]",2020,7,7,14
"[-34.2487, 146.0695]",2020,7,8,17
"[-34.2487, 146.0695]",2020,7,9,17.1
"[-34.2487, 146.0695]",2020,7,10,19.3
"[-34.2487, 146.0695]",2020,7,11,16.6
"[-34.2487, 146.0695]",2020,7,12,14.3
"[-34.2487, 146.0695]",2020,7,13,11.4
"[-34.2487, 146.0695]",2020,7,14,15.9
"[-34.2487, 146.0695]",2020,7,15,15.5
"[-34.2487, 146.0695]",2020,7,16,13.4
"[-34.2487, 146.0695]",2020,7,17,16
"[-34.2487, 146.0695]",2020,7,18,16
"[-34.2487, 146.0695]",2020,7,19,17.8
"[-34.2487, 146.0695]",2020,7,20,13.5
"[-34.2487, 146.0695]",2020,7,21,14.6
"[-34.2487, 146.0695]",2020,7,22,14.1
"[-34.2487, 146.0695]",2020,7,23,13.3
"[-34.2487, 146.0695]",2020,7,24,17.5
"[-34.2487, 146.0695]",2020,7,25,15.9
"[-34.2487, 146.0695]",2020,7,26,15.1
"[-34.2487, 146.0695]",2020,7,27,16
"[-34.2487, 146.0695]",2020,7,28,18.9
"[-34.2487, 146.0695]",2020,7,29,16.4
"[-34.2487, 146.0695]",2020,7,30,16.8
"[-34.2487, 146.0695]",2020,7,31,17.2
