Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-25.3220, 152.8817]",2020,7,1,
"[-25.3220, 152.8817]",2020,7,2,23.3
"[-25.3220, 152.8817]",2020,7,3,24.3
"[-25.3220, 152.8817]",2020,7,4,22.1
"[-25.3220, 152.8817]",2020,7,5,20.2
"[-25.3220, 152.8817]",2020,7,6,22.1
"[-25.3220, 152.8817]",2020,7,7,23.1
"[-25.3220, 152.8817]",2020,7,8,20.9
"[-25.3220, 152.8817]",2020,7,9,22.5
"[-25.3220, 152.8817]",2020,7,10,23.4
"[-25.3220, 152.8817]",2020,7,11,23.7
"[-25.3220, 152.8817]",2020,7,12,23.8
"[-25.3220, 152.8817]",2020,7,13,22.3
"[-25.3220, 152.8817]",2020,7,14,19.8
"[-25.3220, 152.8817]",2020,7,15,21.8
"[-25.3220, 152.8817]",2020,7,16,22.3
"[-25.3220, 152.8817]",2020,7,17,21.6
"[-25.3220, 152.8817]",2020,7,18,22.5
"[-25.3220, 152.8817]",2020,7,19,23.8
"[-25.3220, 152.8817]",2020,7,20,23.9
"[-25.3220, 152.8817]",2020,7,21,21.6
"[-25.3220, 152.8817]",2020,7,22,16.5
"[-25.3220, 152.8817]",2020,7,23,17.8
"[-25.3220, 152.8817]",2020,7,24,19.8
"[-25.3220, 152.8817]",2020,7,25,21.9
"[-25.3220, 152.8817]",2020,7,26,23.2
"[-25.3220, 152.8817]",2020,7,27,20.9
"[-25.3220, 152.8817]",2020,7,28,20.6
"[-25.3220, 152.8817]",2020,7,29,21.6
"[-25.3220, 152.8817]",2020,7,30,23
"[-25.3220, 152.8817]",2020,7,31,22.2
