Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-42.8897, 147.3278]",2020,7,1,13.8
"[-42.8897, 147.3278]",2020,7,2,12.9
"[-42.8897, 147.3278]",2020,7,3,10
"[-42.8897, 147.3278]",2020,7,4,13
"[-42.8897, 147.3278]",2020,7,5,15.3
"[-42.8897, 147.3278]",2020,7,6,13.2
"[-42.8897, 147.3278]",2020,7,7,10
"[-42.8897, 147.3278]",2020,7,8,10.1
"[-42.8897, 147.3278]",2020,7,9,12.5
"[-42.8897, 147.3278]",2020,7,10,8.6
"[-42.8897, 147.3278]",2020,7,11,8.8
"[-42.8897, 147.3278]",2020,7,12,10.9
"[-42.8897, 147.3278]",2020,7,13,12.6
"[-42.8897, 147.3278]",2020,7,14,10.7
"[-42.8897, 147.3278]",2020,7,15,12
"[-42.8897, 147.3278]",2020,7,16,12
"[-42.8897, 147.3278]",2020,7,17,12
"[-42.8897, 147.3278]",2020,7,18,9.7
"[-42.8897, 147.3278]",2020,7,19,15.4
"[-42.8897, 147.3278]",2020,7,20,10.1
"[-42.8897, 147.3278]",2020,7,21,13.8
"[-42.8897, 147.3278]",2020,7,22,13.3
"[-42.8897, 147.3278]",2020,7,23,13.5
"[-42.8897, 147.3278]",2020,7,24,13.1
"[-42.8897, 147.3278]",2020,7,25,13.8
"[-42.8897, 147.3278]",2020,7,26,14.5
"[-42.8897, 147.3278]",2020,7,27,12.4
"[-42.8897, 147.3278]",2020,7,28,14
"[-42.8897, 147.3278]",2020,7,29,14.8
"[-42.8897, 147.3278]",2020,7,30,14
"[-42.8897, 147.3278]",2020,7,31,15.6
