Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-36.6697, 142.1731]",2020,7,1,18.4
"[-36.6697, 142.1731]",2020,7,2,13.2
"[-36.6697, 142.1731]",2020,7,3,12.3
"[-36.6697, 142.1731]",2020,7,4,13.8
"[-36.6697, 142.1731]",2020,7,5,11.8
"[-36.6697, 142.1731]",2020,7,6,12.5
"[-36.6697, 142.1731]",2020,7,7,14
"[-36.6697, 142.1731]",2020,7,8,9.3
"[-36.6697, 142.1731]",2020,7,9,12.6
"[-36.6697, 142.1731]",2020,7,10,15.7
"[-36.6697, 142.1731]",2020,7,11,11.2
"[-36.6697, 142.1731]",2020,7,12,14.7
"[-36.6697, 142.1731]",2020,7,13,15.3
"[-36.6697, 142.1731]",2020,7,14,14.8
"[-36.6697, 142.1731]",2020,7,15,14.1
"[-36.6697, 142.1731]",2020,7,16,13.8
"[-36.6697, 142.1731]",2020,7,17,14.1
"[-36.6697, 142.1731]",2020,7,18,12.5
"[-36.6697, 142.1731]",2020,7,19,14.4
"[-36.6697, 142.1731]",2020,7,20,14.1
"[-36.6697, 142.1731]",2020,7,21,11
"[-36.6697, 142.1731]",2020,7,22,11.5
"[-36.6697, 142.1731]",2020,7,23,12.8
"[-36.6697, 142.1731]",2020,7,24,14
"[-36.6697, 142.1731]",2020,7,25,15.2
"[-36.6697, 142.1731]",2020,7,26,16.4
"[-36.6697, 142.1731]",2020,7,27,14.8
"[-36.6697, 142.1731]",2020,7,28,16
"[-36.6697, 142.1731]",2020,7,29,13.9
"[-36.6697, 142.1731]",2020,7,30,14.4
"[-36.6697, 142.1731]",2020,7,31,15.6
