Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-30.7847, 121.4533]",2020,7,1,16.1
"[-30.7847, 121.4533]",2020,7,2,15.8
"[-30.7847, 121.4533]",2020,7,3,17.6
"[-30.7847, 121.4533]",2020,7,4,20.1
"[-30.7847, 121.4533]",2020,7,5,23.9
"[-30.7847, 121.4533]",2020,7,6,23.7
"[-30.7847, 121.4533]",2020,7,7,17.1
"[-30.7847, 121.4533]",2020,7,8,17.3
"[-30.7847, 121.4533]",2020,7,9,15.7
"[-30.7847, 121.4533]",2020,7,10,13.1
"[-30.7847, 121.4533]",2020,7,11,13.9
"[-30.7847, 121.4533]",2020,7,12,17.2
"[-30.7847, 121.4533]",2020,7,13,21.6
"[-30.7847, 121.4533]",2020,7,14,20.6
"[-30.7847, 121.4533]",2020,7,15,19.2
"[-30.7847, 121.4533]",2020,7,16,25.8
"[-30.7847, 121.4533]",2020,7,17,15.4
"[-30.7847, 121.4533]",2020,7,18,14.9
"[-30.7847, 121.4533]",2020,7,19,14
"[-30.7847, 121.4533]",2020,7,20,15.2
"[-30.7847, 121.4533]",2020,7,21,17.9
"[-30.7847, 121.4533]",2020,7,22,22.5
"[-30.7847, 121.4533]",2020,7,23,20.3
"[-30.7847, 121.4533]",2020,7,24,16.3
"[-30.7847, 121.4533]",2020,7,25,19.7
"[-30.7847, 121.4533]",2020,7,26,20.8
"[-30.7847, 121.4533]",2020,7,27,24.2
"[-30.7847, 121.4533]",2020,7,28,22.1
"[-30.7847, 121.4533]",2020,7,29,20.6
"[-30.7847, 121.4533]",2020,7,30,25
"[-30.7847, 121.4533]",2020,7,31,22.8
