Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-33.7139, 150.2953]",2020,7,1,14.6
"[-33.7139, 150.2953]",2020,7,2,13.2
"[-33.7139, 150.2953]",2020,7,3,
"[-33.7139, 150.2953]",2020,7,4,10.5
"[-33.7139, 150.2953]",2020,7,5,6.8
"[-33.7139, 150.2953]",2020,7,6,13.7
"[-33.7139, 150.2953]",2020,7,7,8.9
"[-33.7139, 150.2953]",2020,7,8,8.6
"[-33.7139, 150.2953]",2020,7,9,12.9
"[-33.7139, 150.2953]",2020,7,10,
"[-33.7139, 150.2953]",2020,7,11,12
"[-33.7139, 150.2953]",2020,7,12,11.4
"[-33.7139, 150.2953]",2020,7,13,9.7
"[-33.7139, 150.2953]",2020,7,14,7.4
"[-33.7139, 150.2953]",2020,7,15,8.9
"[-33.7139, 150.2953]",2020,7,16,10.4
"[-33.7139, 150.2953]",2020,7,17,
"[-33.7139, 150.2953]",2020,7,18,12.5
"[-33.7139, 150.2953]",2020,7,19,11.7
"[-33.7139, 150.2953]",2020,7,20,12.3
"[-33.7139, 150.2953]",2020,7,21,10.6
"[-33.7139, 150.2953]",2020,7,22,14.2
"[-33.7139, 150.2953]",2020,7,23,14.2
"[-33.7139, 150.2953]",2020,7,24,14.2
"[-33.7139, 150.2953]",2020,7,25,12
"[-33.7139, 150.2953]",2020,7,26,9.3
"[-33.7139, 150.2953]",2020,7,27,9.6
"[-33.7139, 150.2953]",2020,7,28,11.2
"[-33.7139, 150.2953]",2020,7,29,
"[-33.7139, 150.2953]",2020,7,30,15.2
"[-33.7139, 150.2953]",2020,7,31,10.5
