Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-41.4194, 147.1219]",2020,7,1,15.6
"[-41.4194, 147.1219]",2020,7,2,13.3
"[-41.4194, 147.1219]",2020,7,3,12.4
"[-41.4194, 147.1219]",2020,7,4,13.9
"[-41.4194, 147.1219]",2020,7,5,16
"[-41.4194, 147.1219]",2020,7,6,13.4
"[-41.4194, 147.1219]",2020,7,7,10.3
"[-41.4194, 147.1219]",2020,7,8,
"[-41.4194, 147.1219]",2020,7,9,10.9
"[-41.4194, 147.1219]",2020,7,10,12.5
"[-41.4194, 147.1219]",2020,7,11,12.7
"[-41.4194, 147.1219]",2020,7,12,14.5
"[-41.4194, 147.1219]",2020,7,13,13.1
"[-41.4194, 147.1219]",2020,7,14,
"[-41.4194, 147.1219]",2020,7,15,12.6
"[-41.4194, 147.1219]",2020,7,16,13.2
"[-41.4194, 147.1219]",2020,7,17,13.3
"[-41.4194, 147.1219]",2020,7,18,11.8
"[-41.4194, 147.1219]",2020,7,19,14.1
"[-41.4194, 147.1219]",2020,7,20,14.2
"[-41.4194, 147.1219]",2020,7,21,
"[-41.4194, 147.1219]",2020,7,22,13.8
"[-41.4194, 147.1219]",2020,7,23,12.7
"[-41.4194, 147.1219]",2020,7,24,10.5
"[-41.4194, 147.1219]",2020,7,25,13.2
"[-41.4194, 147.1219]",2020,7,26,13.5
"[-41.4194, 147.1219]",2020,7,27,13.7
"[-41.4194, 147.1219]",2020,7,28,14.6
"[-41.4194, 147.1219]",2020,7,29,14.3
"[-41.4194, 147.1219]",2020,7,30,14
"[-41.4194, 147.1219]",2020,7,31,14.3
