Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-28.8305, 153.2601]",2020,7,1,22.7
"[-28.8305, 153.2601]",2020,7,2,23.8
"[-28.8305, 153.2601]",2020,7,3,24.7
"[-28.8305, 153.2601]",2020,7,4,19.8
"[-28.8305, 153.2601]",2020,7,5,19.8
"[-28.8305, 153.2601]",2020,7,6,20
"[-28.8305, 153.2601]",2020,7,7,20.5
"[-28.8305, 153.2601]",2020,7,8,16.3
"[-28.8305, 153.2601]",2020,7,9,20.1
"[-28.8305, 153.2601]",2020,7,10,19.6
"[-28.8305, 153.2601]",2020,7,11,23.2
"[-28.8305, 153.2601]",2020,7,12,18.3
"[-28.8305, 153.2601]",2020,7,13,20
"[-28.8305, 153.2601]",2020,7,14,19
"[-28.8305, 153.2601]",2020,7,15,21.6
"[-28.8305, 153.2601]",2020,7,16,21
"[-28.8305, 153.2601]",2020,7,17,21.4
"[-28.8305, 153.2601]",2020,7,18,20.4
"[-28.8305, 153.2601]",2020,7,19,23.9
"[-28.8305, 153.2601]",2020,7,20,23
"[-28.8305, 153.2601]",2020,7,21,20
"[-28.8305, 153.2601]",2020,7,22,16
"[-28.8305, 153.2601]",2020,7,23,16.7
"[-28.8305, 153.2601]",2020,7,24,17.4
"[-28.8305, 153.2601]",2020,7,25,16.7
"[-28.8305, 153.2601]",2020,7,26,21.3
"[-28.8305, 153.2601]",2020,7,27,19.2
"[-28.8305, 153.2601]",2020,7,28,20.5
"[-28.8305, 153.2601]",2020,7,29,21.8
"[-28.8305, 153.2601]",2020,7,30,21.4
"[-28.8305, 153.2601]",2020,7,31,19.9
