Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-27.6932, 152.9935]",2020,7,1,23
"[-27.6932, 152.9935]",2020,7,2,23.8
"[-27.6932, 152.9935]",2020,7,3,25.2
"[-27.6932, 152.9935]",2020,7,4,21.2
"[-27.6932, 152.9935]",2020,7,5,20.2
"[-27.6932, 152.9935]",2020,7,6,22.3
"[-27.6932, 152.9935]",2020,7,7,22.9
"[-27.6932, 152.9935]",2020,7,8,23
"[-27.6932, 152.9935]",2020,7,9,20.5
"[-27.6932, 152.9935]",2020,7,10,21.2
"[-27.6932, 152.9935]",2020,7,11,22.6
"[-27.6932, 152.9935]",2020,7,12,21.6
"[-27.6932, 152.9935]",2020,7,13,21.4
"[-27.6932, 152.9935]",2020,7,14,18.9
"[-27.6932, 152.9935]",2020,7,15,22.4
"[-27.6932, 152.9935]",2020,7,16,22
"[-27.6932, 152.9935]",2020,7,17,23
"[-27.6932, 152.9935]",2020,7,18,23
"[-27.6932, 152.9935]",2020,7,19,24.8
"[-27.6932, 152.9935]",2020,7,20,25.7
"[-27.6932, 152.9935]",2020,7,21,21.6
"[-27.6932, 152.9935]",2020,7,22,19.2
"[-27.6932, 152.9935]",2020,7,23,18.1
"[-27.6932, 152.9935]",2020,7,24,18.5
"[-27.6932, 152.9935]",2020,7,25,18.9
"[-27.6932, 152.9935]",2020,7,26,23.6
"[-27.6932, 152.9935]",2020,7,27,19.1
"[-27.6932, 152.9935]",2020,7,28,21.6
"[-27.6932, 152.9935]",2020,7,29,23.2
"[-27.6932, 152.9935]",2020,7,30,23.4
"[-27.6932, 152.9935]",2020,7,31,22.4
