Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-21.1706, 149.1794]",2020,7,1,23.9
"[-21.1706, 149.1794]",2020,7,2,24.2
"[-21.1706, 149.1794]",2020,7,3,24.2
"[-21.1706, 149.1794]",2020,7,4,23.2
"[-21.1706, 149.1794]",2020,7,5,20
"[-21.1706, 149.1794]",2020,7,6,22.6
"[-21.1706, 149.1794]",2020,7,7,22.6
"[-21.1706, 149.1794]",2020,7,8,23
"[-21.1706, 149.1794]",2020,7,9,22.2
"[-21.1706, 149.1794]",2020,7,10,22.6
"[-21.1706, 149.1794]",2020,7,11,23.8
"[-21.1706, 149.1794]",2020,7,12,24.9
"[-21.1706, 149.1794]",2020,7,13,25.5
"[-21.1706, 149.1794]",2020,7,14,20
"[-21.1706, 149.1794]",2020,7,15,21.9
"[-21.1706, 149.1794]",2020,7,16,21.6
"[-21.1706, 149.1794]",2020,7,17,20.3
"[-21.1706, 149.1794]",2020,7,18,21.5
"[-21.1706, 149.1794]",2020,7,19,22.1
"[-21.1706, 149.1794]",2020,7,20,23.4
"[-21.1706, 149.1794]",2020,7,21,22.8
"[-21.1706, 149.1794]",2020,7,22,20
"[-21.1706, 149.1794]",2020,7,23,21.9
"[-21.1706, 149.1794]",2020,7,24,22.5
"[-21.1706, 149.1794]",2020,7,25,22.4
"[-21.1706, 149.1794]",2020,7,26,27.3
"[-21.1706, 149.1794]",2020,7,27,23.1
"[-21.1706, 149.1794]",2020,7,28,25.2
"[-21.1706, 149.1794]",2020,7,29,22
"[-21.1706, 149.1794]",2020,7,30,23.3
"[-21.1706, 149.1794]",2020,7,31,22.6
