Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-32.7023, 151.4881]",2020,7,1,20.4
"[-32.7023, 151.4881]",2020,7,2,23.5
"[-32.7023, 151.4881]",2020,7,3,19.3
"[-32.7023, 151.4881]",2020,7,4,16
"[-32.7023, 151.4881]",2020,7,5,17.7
"[-32.7023, 151.4881]",2020,7,6,18.5
"[-32.7023, 151.4881]",2020,7,7,18.4
"[-32.7023, 151.4881]",2020,7,8,17.3
"[-32.7023, 151.4881]",2020,7,9,18.4
"[-32.7023, 151.4881]",2020,7,10,15.7
"[-32.7023, 151.4881]",2020,7,11,18.1
"[-32.7023, 151.4881]",2020,7,12,19.6
"[-32.7023, 151.4881]",2020,7,13,15.9
"[-32.7023, 151.4881]",2020,7,14,16.5
"[-32.7023, 151.4881]",2020,7,15,16.8
"[-32.7023, 151.4881]",2020,7,16,16.7
"[-32.7023, 151.4881]",2020,7,17,15.7
"[-32.7023, 151.4881]",2020,7,18,17.5
"[-32.7023, 151.4881]",2020,7,19,20.1
"[-32.7023, 151.4881]",2020,7,20,18.9
"[-32.7023, 151.4881]",2020,7,21,17.4
"[-32.7023, 151.4881]",2020,7,22,16.1
"[-32.7023, 151.4881]",2020,7,23,18.7
"[-32.7023, 151.4881]",2020,7,24,19.3
"[-32.7023, 151.4881]",2020,7,25,17.1
"[-32.7023, 151.4881]",2020,7,26,14.8
"[-32.7023, 151.4881]",2020,7,27,16.5
"[-32.7023, 151.4881]",2020,7,28,14.5
"[-32.7023, 151.4881]",2020,7,29,19.9
"[-32.7023, 151.4881]",2020,7,30,18.5
"[-32.7023, 151.4881]",2020,7,31,17.8
