Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-32.5219, 115.7119]",2020,7,1,15.8
"[-32.5219, 115.7119]",2020,7,2,16.7
"[-32.5219, 115.7119]",2020,7,3,19.2
"[-32.5219, 115.7119]",2020,7,4,19.7
"[-32.5219, 115.7119]",2020,7,5,20.2
"[-32.5219, 115.7119]",2020,7,6,17.8
"[-32.5219, 115.7119]",2020,7,7,17.5
"[-32.5219, 115.7119]",2020,7,8,16.5
"[-32.5219, 115.7119]",2020,7,9,15.8
"[-32.5219, 115.7119]",2020,7,10,15.6
"[-32.5219, 115.7119]",2020,7,11,17.2
"[-32.5219, 115.7119]",2020,7,12,18.7
"[-32.5219, 115.7119]",2020,7,13,18.8
"[-32.5219, 115.7119]",2020,7,14,17
"[-32.5219, 115.7119]",2020,7,15,17.8
"[-32.5219, 115.7119]",2020,7,16,18.6
"[-32.5219, 115.7119]",2020,7,17,14.5
"[-32.5219, 115.7119]",2020,7,18,17.1
"[-32.5219, 115.7119]",2020,7,19,16.8
"[-32.5219, 115.7119]",2020,7,20,18.9
"[-32.5219, 115.7119]",2020,7,21,18.8
"[-32.5219, 115.7119]",2020,7,22,19.3
"[-32.5219, 115.7119]",2020,7,23,18.1
"[-32.5219, 115.7119]",2020,7,24,18
"[-32.5219, 115.7119]",2020,7,25,19.5
"[-32.5219, 115.7119]",2020,7,26,20.5
"[-32.5219, 115.7119]",2020,7,27,20
"[-32.5219, 115.7119]",2020,7,28,19.5
"[-32.5219, 115.7119]",2020,7,29,20.1
"[-32.5219, 115.7119]",2020,7,30,19.7
"[-32.5219, 115.7119]",2020,7,31,18.5
