Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-25.5132, 152.7152]",2020,7,1,23.3
"[-25.5132, 152.7152]",2020,7,2,24.2
"[-25.5132, 152.7152]",2020,7,3,25
"[-25.5132, 152.7152]",2020,7,4,21.9
"[-25.5132, 152.7152]",2020,7,5,22.2
"[-25.5132, 152.7152]",2020,7,6,23.4
"[-25.5132, 152.7152]",2020,7,7,23.5
"[-25.5132, 152.7152]",2020,7,8,23.4
"[-25.5132, 152.7152]",2020,7,9,22.2
"[-25.5132, 152.7152]",2020,7,10,23.6
"[-25.5132, 152.7152]",2020,7,11,24.9
"[-25.5132, 152.7152]",2020,7,12,25.9
"[-25.5132, 152.7152]",2020,7,13,22.4
"[-25.5132, 152.7152]",2020,7,14,19.7
"[-25.5132, 152.7152]",2020,7,15,21.5
"[-25.5132, 152.7152]",2020,7,16,22.8
"[-25.5132, 152.7152]",2020,7,17,22.5
"[-25.5132, 152.7152]",2020,7,18,23.6
"[-25.5132, 152.7152]",2020,7,19,25.2
"[-25.5132, 152.7152]",2020,7,20,26
"[-25.5132, 152.7152]",2020,7,21,21.4
"[-25.5132, 152.7152]",2020,7,22,18
"[-25.5132, 152.7152]",2020,7,23,18.7
"[-25.5132, 152.7152]",2020,7,24,20.2
"[-25.5132, 152.7152]",2020,7,25,21.5
"[-25.5132, 152.7152]",2020,7,26,25.4
"[-25.5132, 152.7152]",2020,7,27,20.7
"[-25.5132, 152.7152]",2020,7,28,23
"[-25.5132, 152.7152]",2020,7,29,22.1
"[-25.5132, 152.7152]",2020,7,30,24.2
"[-25.5132, 152.7152]",2020,7,31,22.9
