Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-37.8255, 144.9816]",2020,7,1,17.4
"[-37.8255, 144.9816]",2020,7,2,15.1
"[-37.8255, 144.9816]",2020,7,3,10.3
"[-37.8255, 144.9816]",2020,7,4,14.5
"[-37.8255, 144.9816]",2020,7,5,12.5
"[-37.8255, 144.9816]",2020,7,6,13.1
"[-37.8255, 144.9816]",2020,7,7,11.8
"[-37.8255, 144.9816]",2020,7,8,15.7
"[-37.8255, 144.9816]",2020,7,9,17.2
"[-37.8255, 144.9816]",2020,7,10,16.9
"[-37.8255, 144.9816]",2020,7,11,11.4
"[-37.8255, 144.9816]",2020,7,12,14.2
"[-37.8255, 144.9816]",2020,7,13,15.1
"[-37.8255, 144.9816]",2020,7,14,14.2
"[-37.8255, 144.9816]",2020,7,15,14.7
"[-37.8255, 144.9816]",2020,7,16,11.5
"[-37.8255, 144.9816]",2020,7,17,12.8
"[-37.8255, 144.9816]",2020,7,18,12.5
"[-37.8255, 144.9816]",2020,7,19,15.3
"[-37.8255, 144.9816]",2020,7,20,13.8
"[-37.8255, 144.9816]",2020,7,21,12.9
"[-37.8255, 144.9816]",2020,7,22,13.3
"[-37.8255, 144.9816]",2020,7,23,12
"[-37.8255, 144.9816]",2020,7,24,13.5
"[-37.8255, 144.9816]",2020,7,25,12.2
"[-37.8255, 144.9816]",2020,7,26,12.8
"[-37.8255, 144.9816]",2020,7,27,13.5
"[-37.8255, 144.9816]",2020,7,28,15.6
"[-37.8255, 144.9816]",2020,7,29,16.3
"[-37.8255, 144.9816]",2020,7,30,14.2
"[-37.8255, 144.9816]",2020,7,31,17.1
