Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-34.2358, 142.0867]",2020,7,1,21.7
"[-34.2358, 142.0867]",2020,7,2,16
"[-34.2358, 142.0867]",2020,7,3,16.4
"[-34.2358, 142.0867]",2020,7,4,14
"[-34.2358, 142.0867]",2020,7,5,14.2
"[-34.2358, 142.0867]",2020,7,6,13.9
"[-34.2358, 142.0867]",2020,7,7,14
"[-34.2358, 142.0867]",2020,7,8,7.6
"[-34.2358, 142.0867]",2020,7,9,16.5
"[-34.2358, 142.0867]",2020,7,10,19.9
"[-34.2358, 142.0867]",2020,7,11,14.3
"[-34.2358, 142.0867]",2020,7,12,13.2
"[-34.2358, 142.0867]",2020,7,13,16.4
"[-34.2358, 142.0867]",2020,7,14,16.4
"[-34.2358, 142.0867]",2020,7,15,16.3
"[-34.2358, 142.0867]",2020,7,16,17.5
"[-34.2358, 142.0867]",2020,7,17,16.8
"[-34.2358, 142.0867]",2020,7,18,16.6
"[-34.2358, 142.0867]",2020,7,19,18.3
"[-34.2358, 142.0867]",2020,7,20,16.3
"[-34.2358, 142.0867]",2020,7,21,13.3
"[-34.2358, 142.0867]",2020,7,22,14.3
"[-34.2358, 142.0867]",2020,7,23,15.5
"[-34.2358, 142.0867]",2020,7,24,18.9
"[-34.2358, 142.0867]",2020,7,25,15.9
"[-34.2358, 142.0867]",2020,7,26,17
"[-34.2358, 142.0867]",2020,7,27,16.8
"[-34.2358, 142.0867]",2020,7,28,19
"[-34.2358, 142.0867]",2020,7,29,17.7
"[-34.2358, 142.0867]",2020,7,30,18.1
"[-34.2358, 142.0867]",2020,7,31,18.4
