Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-38.2094, 146.4746]",2020,7,1,18.6
"[-38.2094, 146.4746]",2020,7,2,13.8
"[-38.2094, 146.4746]",2020,7,3,13.4
"[-38.2094, 146.4746]",2020,7,4,11.8
"[-38.2094, 146.4746]",2020,7,5,13.8
"[-38.2094, 146.4746]",2020,7,6,11.8
"[-38.2094, 146.4746]",2020,7,7,13.6
"[-38.2094, 146.4746]",2020,7,8,14.1
"[-38.2094, 146.4746]",2020,7,9,14.9
"[-38.2094, 146.4746]",2020,7,10,13.1
"[-38.2094, 146.4746]",2020,7,11,14.4
"[-38.2094, 146.4746]",2020,7,12,12.7
"[-38.2094, 146.4746]",2020,7,13,13.6
"[-38.2094, 146.4746]",2020,7,14,13.3
"[-38.2094, 146.4746]",2020,7,15,14.2
"[-38.2094, 146.4746]",2020,7,16,13.4
"[-38.2094, 146.4746]",2020,7,17,13.6
"[-38.2094, 146.4746]",2020,7,18,12.8
"[-38.2094, 146.4746]",2020,7,19,17.5
"[-38.2094, 146.4746]",2020,7,20,12.3
"[-38.2094, 146.4746]",2020,7,21,12.9
"[-38.2094, 146.4746]",2020,7,22,13
"[-38.2094, 146.4746]",2020,7,23,11.1
"[-38.2094, 146.4746]",2020,7,24,12.8
"[-38.2094, 146.4746]",2020,7,25,12.2
"[-38.2094, 146.4746]",2020,7,26,14.9
"[-38.2094, 146.4746]",2020,7,27,13.4
"[-38.2094, 146.4746]",2020,7,28,14.6
"[-38.2094, 146.4746]",2020,7,29,14.8
"[-38.2094, 146.4746]",2020,7,30,14.9
"[-38.2094, 146.4746]",2020,7,31,14.8
