Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-37.7473, 140.7739]",2020,7,1,17.8
"[-37.7473, 140.7739]",2020,7,2,13.9
"[-37.7473, 140.7739]",2020,7,3,11.5
"[-37.7473, 140.7739]",2020,7,4,13.3
"[-37.7473, 140.7739]",2020,7,5,11.7
"[-37.7473, 140.7739]",2020,7,6,13.6
"[-37.7473, 140.7739]",2020,7,7,13
"[-37.7473, 140.7739]",2020,7,8,11.8
"[-37.7473, 140.7739]",2020,7,9,11.5
"[-37.7473, 140.7739]",2020,7,10,13.1
"[-37.7473, 140.7739]",2020,7,11,11.8
"[-37.7473, 140.7739]",2020,7,12,15.9
"[-37.7473, 140.7739]",2020,7,13,15.6
"[-37.7473, 140.7739]",2020,7,14,14.9
"[-37.7473, 140.7739]",2020,7,15,13.7
"[-37.7473, 140.7739]",2020,7,16,15.4
"[-37.7473, 140.7739]",2020,7,17,14.8
"[-37.7473, 140.7739]",2020,7,18,14.1
"[-37.7473, 140.7739]",2020,7,19,12.6
"[-37.7473, 140.7739]",2020,7,20,12.8
"[-37.7473, 140.7739]",2020,7,21,13.4
"[-37.7473, 140.7739]",2020,7,22,12.5
"[-37.7473, 140.7739]",2020,7,23,10.7
"[-37.7473, 140.7739]",2020,7,24,14.7
"[-37.7473, 140.7739]",2020,7,25,15.5
"[-37.7473, 140.7739]",2020,7,26,13.8
"[-37.7473, 140.7739]",2020,7,27,14.5
"[-37.7473, 140.7739]",2020,7,28,14.1
"[-37.7473, 140.7739]",2020,7,29,16.5
"[-37.7473, 140.7739]",2020,7,30,15.3
"[-37.7473, 140.7739]",2020,7,31,15.3
