Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-35.1234, 139.2592]",2020,7,1,22
"[-35.1234, 139.2592]",2020,7,2,14.9
"[-35.1234, 139.2592]",2020,7,3,14.8
"[-35.1234, 139.2592]",2020,7,4,16.4
"[-35.1234, 139.2592]",2020,7,5,15.2
"[-35.1234, 139.2592]",2020,7,6,13.9
"[-35.1234, 139.2592]",2020,7,7,13.8
"[-35.1234, 139.2592]",2020,7,8,15.4
"[-35.1234, 139.2592]",2020,7,9,13.8
"[-35.1234, 139.2592]",2020,7,10,15.6
"[-35.1234, 139.2592]",2020,7,11,14.1
"[-35.1234, 139.2592]",2020,7,12,15.7
"[-35.1234, 139.2592]",2020,7,13,16.1
"[-35.1234, 139.2592]",2020,7,14,16.8
"[-35.1234, 139.2592]",2020,7,15,17.8
"[-35.1234, 139.2592]",2020,7,16,18.2
"[-35.1234, 139.2592]",2020,7,17,20.6
"[-35.1234, 139.2592]",2020,7,18,17.6
"[-35.1234, 139.2592]",2020,7,19,17.2
"[-35.1234, 139.2592]",2020,7,20,15.1
"[-35.1234, 139.2592]",2020,7,21,13.8
"[-35.1234, 139.2592]",2020,7,22,12.7
"[-35.1234, 139.2592]",2020,7,23,15
"[-35.1234, 139.2592]",2020,7,24,19.8
"[-35.1234, 139.2592]",2020,7,25,20.1
"[-35.1234, 139.2592]",2020,7,26,19.2
"[-35.1234, 139.2592]",2020,7,27,15.2
"[-35.1234, 139.2592]",2020,7,28,14.8
"[-35.1234, 139.2592]",2020,7,29,20.3
"[-35.1234, 139.2592]",2020,7,30,18.3
"[-35.1234, 139.2592]",2020,7,31,21.7
