Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-32.9184, 151.7985]",2020,7,1,19.9
"[-32.9184, 151.7985]",2020,7,2,23.2
"[-32.9184, 151.7985]",2020,7,3,20.4
"[-32.9184, 151.7985]",2020,7,4,16.4
"[-32.9184, 151.7985]",2020,7,5,18.9
"[-32.9184, 151.7985]",2020,7,6,17.9
"[-32.9184, 151.7985]",2020,7,7,18.3
"[-32.9184, 151.7985]",2020,7,8,17.3
"[-32.9184, 151.7985]",2020,7,9,18.4
"[-32.9184, 151.7985]",2020,7,10,17.2
"[-32.9184, 151.7985]",2020,7,11,18.3
"[-32.9184, 151.7985]",2020,7,12,18.7
"[-32.9184, 151.7985]",2020,7,13,16.5
"[-32.9184, 151.7985]",2020,7,14,16.8
"[-32.9184, 151.7985]",2020,7,15,16
"[-32.9184, 151.7985]",2020,7,16,16
"[-32.9184, 151.7985]",2020,7,17,14.3
"[-32.9184, 151.7985]",2020,7,18,16.6
"[-32.9184, 151.7985]",2020,7,19,19.5
"[-32.9184, 151.7985]",2020,7,20,18.8
"[-32.9184, 151.7985]",2020,7,21,15.5
"[-32.9184, 151.7985]",2020,7,22,16.5
"[-32.9184, 151.7985]",2020,7,23,16.8
"[-32.9184, 151.7985]",2020,7,24,17.7
"[-32.9184, 151.7985]",2020,7,25,17.7
"[-32.9184, 151.7985]",2020,7,26,17
"[-32.9184, 151.7985]",2020,7,27,15.1
"[-32.9184, 151.7985]",2020,7,28,15.8
"[-32.9184, 151.7985]",2020,7,29,17
"[-32.9184, 151.7985]",2020,7,30,16.9
"[-32.9184, 151.7985]",2020,7,31,16.1
