Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-34.9469, 150.5353]",2020,7,1,21.1
"[-34.9469, 150.5353]",2020,7,2,21
"[-34.9469, 150.5353]",2020,7,3,16.2
"[-34.9469, 150.5353]",2020,7,4,15.7
"[-34.9469, 150.5353]",2020,7,5,17.9
"[-34.9469, 150.5353]",2020,7,6,17.1
"[-34.9469, 150.5353]",2020,7,7,16.1
"[-34.9469, 150.5353]",2020,7,8,16.7
"[-34.9469, 150.5353]",2020,7,9,18.8
"[-34.9469, 150.5353]",2020,7,10,18.7
"[-34.9469, 150.5353]",2020,7,11,18.9
"[-34.9469, 150.5353]",2020,7,12,16.5
"[-34.9469, 150.5353]",2020,7,13,15.8
"[-34.9469, 150.5353]",2020,7,14,13.8
"[-34.9469, 150.5353]",2020,7,15,14.7
"[-34.9469, 150.5353]",2020,7,16,16.6
"[-34.9469, 150.5353]",2020,7,17,15.9
"[-34.9469, 150.5353]",2020,7,18,16.9
"[-34.9469, 150.5353]",2020,7,19,19.7
"[-34.9469, 150.5353]",2020,7,20,16.8
"[-34.9469, 150.5353]",2020,7,21,15.9
"[-34.9469, 150.5353]",2020,7,22,19.2
"[-34.9469, 150.5353]",2020,7,23,18
"[-34.9469, 150.5353]",2020,7,24,19.3
"[-34.9469, 150.5353]",2020,7,25,19
"[-34.9469, 150.5353]",2020,7,26,15.2
"[-34.9469, 150.5353]",2020,7,27,14.4
"[-34.9469, 150.5353]",2020,7,28,16.6
"[-34.9469, 150.5353]",2020,7,29,18
"[-34.9469, 150.5353]",2020,7,30,17.1
"[-34.9469, 150.5353]",2020,7,31,16.1
