Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-33.3211, 149.0828]",2020,7,1,12.6
"[-33.3211, 149.0828]",2020,7,2,12.8
"[-33.3211, 149.0828]",2020,7,3,
"[-33.3211, 149.0828]",2020,7,4,
"[-33.3211, 149.0828]",2020,7,5,8.7
"[-33.3211, 149.0828]",2020,7,6,11.8
"[-33.3211, 149.0828]",2020,7,7,10
"[-33.3211, 149.0828]",2020,7,8,12.2
"[-33.3211, 149.0828]",2020,7,9,12.3
"[-33.3211, 149.0828]",2020,7,10,
"[-33.3211, 149.0828]",2020,7,11,
"[-33.3211, 149.0828]",2020,7,12,10.6
"[-33.3211, 149.0828]",2020,7,13,8.3
"[-33.3211, 149.0828]",2020,7,14,10.5
"[-33.3211, 149.0828]",2020,7,15,9.9
"[-33.3211, 149.0828]",2020,7,16,8.8
"[-33.3211, 149.0828]",2020,7,17,
"[-33.3211, 149.0828]",2020,7,18,
"[-33.3211, 149.0828]",2020,7,19,12.5
"[-33.3211, 149.0828]",2020,7,20,7.4
"[-33.3211, 149.0828]",2020,7,21,12
"[-33.3211, 149.0828]",2020,7,22,13.5
"[-33.3211, 149.0828]",2020,7,23,13.5
"[-33.3211, 149.0828]",2020,7,24,
"[-33.3211, 149.0828]",2020,7,25,
"[-33.3211, 149.0828]",2020,7,26,14
"[-33.3211, 149.0828]",2020,7,27,9.5
"[-33.3211, 149.0828]",2020,7,28,11.8
"[-33.3211, 149.0828]",2020,7,29,12.5
"[-33.3211, 149.0828]",2020,7,30,12.5
"[-33.3211, 149.0828]",2020,7,31,
