Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-34.7977, 138.6281]",2020,7,1,21
"[-34.7977, 138.6281]",2020,7,2,14.4
"[-34.7977, 138.6281]",2020,7,3,14.1
"[-34.7977, 138.6281]",2020,7,4,15.8
"[-34.7977, 138.6281]",2020,7,5,16.1
"[-34.7977, 138.6281]",2020,7,6,14.9
"[-34.7977, 138.6281]",2020,7,7,13.6
"[-34.7977, 138.6281]",2020,7,8,15
"[-34.7977, 138.6281]",2020,7,9,15.9
"[-34.7977, 138.6281]",2020,7,10,15.7
"[-34.7977, 138.6281]",2020,7,11,15.1
"[-34.7977, 138.6281]",2020,7,12,16.4
"[-34.7977, 138.6281]",2020,7,13,14.9
"[-34.7977, 138.6281]",2020,7,14,14.4
"[-34.7977, 138.6281]",2020,7,15,17
"[-34.7977, 138.6281]",2020,7,16,17.9
"[-34.7977, 138.6281]",2020,7,17,19.9
"[-34.7977, 138.6281]",2020,7,18,16.6
"[-34.7977, 138.6281]",2020,7,19,15.3
"[-34.7977, 138.6281]",2020,7,20,14.4
"[-34.7977, 138.6281]",2020,7,21,14.2
"[-34.7977, 138.6281]",2020,7,22,13.7
"[-34.7977, 138.6281]",2020,7,23,15.6
"[-34.7977, 138.6281]",2020,7,24,18.3
"[-34.7977, 138.6281]",2020,7,25,18.3
"[-34.7977, 138.6281]",2020,7,26,17.6
"[-34.7977, 138.6281]",2020,7,27,16.5
"[-34.7977, 138.6281]",2020,7,28,13
"[-34.7977, 138.6281]",2020,7,29,16.5
"[-34.7977, 138.6281]",2020,7,30,15.8
"[-34.7977, 138.6281]",2020,7,31,20.1
