Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-31.9192, 115.8728]",2020,7,1,16.3
"[-31.9192, 115.8728]",2020,7,2,17.8
"[-31.9192, 115.8728]",2020,7,3,19.5
"[-31.9192, 115.8728]",2020,7,4,22.3
"[-31.9192, 115.8728]",2020,7,5,23.1
"[-31.9192, 115.8728]",2020,7,6,19.4
"[-31.9192, 115.8728]",2020,7,7,18
"[-31.9192, 115.8728]",2020,7,8,17.1
"[-31.9192, 115.8728]",2020,7,9,17.1
"[-31.9192, 115.8728]",2020,7,10,16.2
"[-31.9192, 115.8728]",2020,7,11,17.5
"[-31.9192, 115.8728]",2020,7,12,22.3
"[-31.9192, 115.8728]",2020,7,13,19.2
"[-31.9192, 115.8728]",2020,7,14,18
"[-31.9192, 115.8728]",2020,7,15,17.7
"[-31.9192, 115.8728]",2020,7,16,20.2
"[-31.9192, 115.8728]",2020,7,17,15
"[-31.9192, 115.8728]",2020,7,18,18.3
"[-31.9192, 115.8728]",2020,7,19,15.4
"[-31.9192, 115.8728]",2020,7,20,18.6
"[-31.9192, 115.8728]",2020,7,21,20.6
"[-31.9192, 115.8728]",2020,7,22,23.5
"[-31.9192, 115.8728]",2020,7,23,19.2
"[-31.9192, 115.8728]",2020,7,24,18.9
"[-31.9192, 115.8728]",2020,7,25,22.4
"[-31.9192, 115.8728]",2020,7,26,20.8
"[-31.9192, 115.8728]",2020,7,27,24.4
"[-31.9192, 115.8728]",2020,7,28,19.3
"[-31.9192, 115.8728]",2020,7,29,21
"[-31.9192, 115.8728]",2020,7,30,21.1
"[-31.9192, 115.8728]",2020,7,31,19.8
