Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-32.5073, 137.7169]",2020,7,1,
"[-32.5073, 137.7169]",2020,7,2,17.9
"[-32.5073, 137.7169]",2020,7,3,18.5
"[-32.5073, 137.7169]",2020,7,4,15.6
"[-32.5073, 137.7169]",2020,7,5,16.1
"[-32.5073, 137.7169]",2020,7,6,16.1
"[-32.5073, 137.7169]",2020,7,7,16.2
"[-32.5073, 137.7169]",2020,7,8,16.7
"[-32.5073, 137.7169]",2020,7,9,17.9
"[-32.5073, 137.7169]",2020,7,10,19.9
"[-32.5073, 137.7169]",2020,7,11,13.3
"[-32.5073, 137.7169]",2020,7,12,15.6
"[-32.5073, 137.7169]",2020,7,13,15.6
"[-32.5073, 137.7169]",2020,7,14,17
"[-32.5073, 137.7169]",2020,7,15,19.1
"[-32.5073, 137.7169]",2020,7,16,21.2
"[-32.5073, 137.7169]",2020,7,17,21.4
"[-32.5073, 137.7169]",2020,7,18,21.1
"[-32.5073, 137.7169]",2020,7,19,19.5
"[-32.5073, 137.7169]",2020,7,20,15.1
"[-32.5073, 137.7169]",2020,7,21,17.1
"[-32.5073, 137.7169]",2020,7,22,16.2
"[-32.5073, 137.7169]",2020,7,23,17.7
"[-32.5073, 137.7169]",2020,7,24,20.5
"[-32.5073, 137.7169]",2020,7,25,16.7
"[-32.5073, 137.7169]",2020,7,26,15.8
"[-32.5073, 137.7169]",2020,7,27,16.7
"[-32.5073, 137.7169]",2020,7,28,16.5
"[-32.5073, 137.7169]",2020,7,29,22.2
"[-32.5073, 137.7169]",2020,7,30,19.6
"[-32.5073, 137.7169]",2020,7,31,21.8
