Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-20.3725, 118.6317]",2020,7,1,31
"[-20.3725, 118.6317]",2020,7,2,33.2
"[-20.3725, 118.6317]",2020,7,3,33.6
"[-20.3725, 118.6317]",2020,7,4,33.2
"[-20.3725, 118.6317]",2020,7,5,31.8
"[-20.3725, 118.6317]",2020,7,6,29.5
"[-20.3725, 118.6317]",2020,7,7,30.1
"[-20.3725, 118.6317]",2020,7,8,30.4
"[-20.3725, 118.6317]",2020,7,9,31.5
"[-20.3725, 118.6317]",2020,7,10,32.8
"[-20.3725, 118.6317]",2020,7,11,30.6
"[-20.3725, 118.6317]",2020,7,12,28.2
"[-20.3725, 118.6317]",2020,7,13,29.6
"[-20.3725, 118.6317]",2020,7,14,29.3
"[-20.3725, 118.6317]",2020,7,15,27.9
"[-20.3725, 118.6317]",2020,7,16,27.3
"[-20.3725, 118.6317]",2020,7,17,28.6
"[-20.3725, 118.6317]",2020,7,18,28.1
"[-20.3725, 118.6317]",2020,7,19,28.2
"[-20.3725, 118.6317]",2020,7,20,28.8
"[-20.3725, 118.6317]",2020,7,21,29
"[-20.3725, 118.6317]",2020,7,22,29.9
"[-20.3725, 118.6317]",2020,7,23,28.2
"[-20.3725, 118.6317]",2020,7,24,29.3
"[-20.3725, 118.6317]",2020,7,25,29.6
"[-20.3725, 118.6317]",2020,7,26,29.8
"[-20.3725, 118.6317]",2020,7,27,28.8
"[-20.3725, 118.6317]",2020,7,28,29.8
"[-20.3725, 118.6317]",2020,7,29,29.7
"[-20.3725, 118.6317]",2020,7,30,30.8
"[-20.3725, 118.6317]",2020,7,31,31.1
