Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-31.4335, 152.8655]",2020,7,1,20.5
"[-31.4335, 152.8655]",2020,7,2,23
"[-31.4335, 152.8655]",2020,7,3,23.6
"[-31.4335, 152.8655]",2020,7,4,15.6
"[-31.4335, 152.8655]",2020,7,5,18.1
"[-31.4335, 152.8655]",2020,7,6,18.7
"[-31.4335, 152.8655]",2020,7,7,19
"[-31.4335, 152.8655]",2020,7,8,17.5
"[-31.4335, 152.8655]",2020,7,9,19.3
"[-31.4335, 152.8655]",2020,7,10,20.3
"[-31.4335, 152.8655]",2020,7,11,18.8
"[-31.4335, 152.8655]",2020,7,12,19
"[-31.4335, 152.8655]",2020,7,13,18
"[-31.4335, 152.8655]",2020,7,14,16.6
"[-31.4335, 152.8655]",2020,7,15,18
"[-31.4335, 152.8655]",2020,7,16,17.8
"[-31.4335, 152.8655]",2020,7,17,17.9
"[-31.4335, 152.8655]",2020,7,18,19.6
"[-31.4335, 152.8655]",2020,7,19,21.9
"[-31.4335, 152.8655]",2020,7,20,20
"[-31.4335, 152.8655]",2020,7,21,18.1
"[-31.4335, 152.8655]",2020,7,22,18.6
"[-31.4335, 152.8655]",2020,7,23,19.2
"[-31.4335, 152.8655]",2020,7,24,18
"[-31.4335, 152.8655]",2020,7,25,19.5
"[-31.4335, 152.8655]",2020,7,26,18.1
"[-31.4335, 152.8655]",2020,7,27,21.9
"[-31.4335, 152.8655]",2020,7,28,21
"[-31.4335, 152.8655]",2020,7,29,21.2
"[-31.4335, 152.8655]",2020,7,30,20.3
"[-31.4335, 152.8655]",2020,7,31,18.5
