Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-33.2371, 137.9971]",2020,7,1,21.2
"[-33.2371, 137.9971]",2020,7,2,16.6
"[-33.2371, 137.9971]",2020,7,3,16.2
"[-33.2371, 137.9971]",2020,7,4,14.7
"[-33.2371, 137.9971]",2020,7,5,15.3
"[-33.2371, 137.9971]",2020,7,6,15
"[-33.2371, 137.9971]",2020,7,7,15.8
"[-33.2371, 137.9971]",2020,7,8,15.6
"[-33.2371, 137.9971]",2020,7,9,16.9
"[-33.2371, 137.9971]",2020,7,10,17.2
"[-33.2371, 137.9971]",2020,7,11,13.1
"[-33.2371, 137.9971]",2020,7,12,14.2
"[-33.2371, 137.9971]",2020,7,13,14.7
"[-33.2371, 137.9971]",2020,7,14,16.1
"[-33.2371, 137.9971]",2020,7,15,17
"[-33.2371, 137.9971]",2020,7,16,17.7
"[-33.2371, 137.9971]",2020,7,17,20
"[-33.2371, 137.9971]",2020,7,18,18
"[-33.2371, 137.9971]",2020,7,19,17
"[-33.2371, 137.9971]",2020,7,20,15.7
"[-33.2371, 137.9971]",2020,7,21,16.4
"[-33.2371, 137.9971]",2020,7,22,14.7
"[-33.2371, 137.9971]",2020,7,23,16.2
"[-33.2371, 137.9971]",2020,7,24,19.3
"[-33.2371, 137.9971]",2020,7,25,16.8
"[-33.2371, 137.9971]",2020,7,26,14.2
"[-33.2371, 137.9971]",2020,7,27,17.2
"[-33.2371, 137.9971]",2020,7,28,15.3
"[-33.2371, 137.9971]",2020,7,29,19.9
"[-33.2371, 137.9971]",2020,7,30,18.9
"[-33.2371, 137.9971]",2020,7,31,20.6
