Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-23.3753, 150.4775]",2020,7,1,25.2
"[-23.3753, 150.4775]",2020,7,2,26
"[-23.3753, 150.4775]",2020,7,3,26.4
"[-23.3753, 150.4775]",2020,7,4,23.8
"[-23.3753, 150.4775]",2020,7,5,22.4
"[-23.3753, 150.4775]",2020,7,6,22.4
"[-23.3753, 150.4775]",2020,7,7,24.6
"[-23.3753, 150.4775]",2020,7,8,24.6
"[-23.3753, 150.4775]",2020,7,9,25.3
"[-23.3753, 150.4775]",2020,7,10,24.7
"[-23.3753, 150.4775]",2020,7,11,25.3
"[-23.3753, 150.4775]",2020,7,12,27.7
"[-23.3753, 150.4775]",2020,7,13,23.8
"[-23.3753, 150.4775]",2020,7,14,21.9
"[-23.3753, 150.4775]",2020,7,15,23.6
"[-23.3753, 150.4775]",2020,7,16,22.8
"[-23.3753, 150.4775]",2020,7,17,22.6
"[-23.3753, 150.4775]",2020,7,18,24.4
"[-23.3753, 150.4775]",2020,7,19,26.5
"[-23.3753, 150.4775]",2020,7,20,27.2
"[-23.3753, 150.4775]",2020,7,21,23.8
"[-23.3753, 150.4775]",2020,7,22,18.3
"[-23.3753, 150.4775]",2020,7,23,19
"[-23.3753, 150.4775]",2020,7,24,24.2
"[-23.3753, 150.4775]",2020,7,25,26
"[-23.3753, 150.4775]",2020,7,26,27.3
"[-23.3753, 150.4775]",2020,7,27,23.7
"[-23.3753, 150.4775]",2020,7,28,23.8
"[-23.3753, 150.4775]",2020,7,29,24.1
"[-23.3753, 150.4775]",2020,7,30,25.4
"[-23.3753, 150.4775]",2020,7,31,24.7
