Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-38.1156, 147.1322]",2020,7,1,20.2
"[-38.1156, 147.1322]",2020,7,2,15.2
"[-38.1156, 147.1322]",2020,7,3,13.9
"[-38.1156, 147.1322]",2020,7,4,12.5
"[-38.1156, 147.1322]",2020,7,5,14.2
"[-38.1156, 147.1322]",2020,7,6,13.2
"[-38.1156, 147.1322]",2020,7,7,14.1
"[-38.1156, 147.1322]",2020,7,8,12.2
"[-38.1156, 147.1322]",2020,7,9,15.7
"[-38.1156, 147.1322]",2020,7,10,10.4
"[-38.1156, 147.1322]",2020,7,11,12.5
"[-38.1156, 147.1322]",2020,7,12,12.9
"[-38.1156, 147.1322]",2020,7,13,14.4
"[-38.1156, 147.1322]",2020,7,14,13.6
"[-38.1156, 147.1322]",2020,7,15,14
"[-38.1156, 147.1322]",2020,7,16,13.6
"[-38.1156, 147.1322]",2020,7,17,13
"[-38.1156, 147.1322]",2020,7,18,14.2
"[-38.1156, 147.1322]",2020,7,19,17.9
"[-38.1156, 147.1322]",2020,7,20,13.1
"[-38.1156, 147.1322]",2020,7,21,13.5
"[-38.1156, 147.1322]",2020,7,22,13.5
"[-38.1156, 147.1322]",2020,7,23,11.9
"[-38.1156, 147.1322]",2020,7,24,13.1
"[-38.1156, 147.1322]",2020,7,25,12.7
"[-38.1156, 147.1322]",2020,7,26,14.3
"[-38.1156, 147.1322]",2020,7,27,13.1
"[-38.1156, 147.1322]",2020,7,28,13.8
"[-38.1156, 147.1322]",2020,7,29,16.2
"[-38.1156, 147.1322]",2020,7,30,15.5
"[-38.1156, 147.1322]",2020,7,31,15.4
