Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-36.4288, 145.3949]",2020,7,1,16.4
"[-36.4288, 145.3949]",2020,7,2,12.9
"[-36.4288, 145.3949]",2020,7,3,10.8
"[-36.4288, 145.3949]",2020,7,4,11.8
"[-36.4288, 145.3949]",2020,7,5,13
"[-36.4288, 145.3949]",2020,7,6,13.5
"[-36.4288, 145.3949]",2020,7,7,8.9
"[-36.4288, 145.3949]",2020,7,8,13.9
"[-36.4288, 145.3949]",2020,7,9,14
"[-36.4288, 145.3949]",2020,7,10,15.3
"[-36.4288, 145.3949]",2020,7,11,12.9
"[-36.4288, 145.3949]",2020,7,12,11
"[-36.4288, 145.3949]",2020,7,13,15.8
"[-36.4288, 145.3949]",2020,7,14,15.7
"[-36.4288, 145.3949]",2020,7,15,13.6
"[-36.4288, 145.3949]",2020,7,16,12.9
"[-36.4288, 145.3949]",2020,7,17,13.9
"[-36.4288, 145.3949]",2020,7,18,11.6
"[-36.4288, 145.3949]",2020,7,19,14.8
"[-36.4288, 145.3949]",2020,7,20,13.5
"[-36.4288, 145.3949]",2020,7,21,13.7
"[-36.4288, 145.3949]",2020,7,22,12.6
"[-36.4288, 145.3949]",2020,7,23,11.8
"[-36.4288, 145.3949]",2020,7,24,12
"[-36.4288, 145.3949]",2020,7,25,15.6
"[-36.4288, 145.3949]",2020,7,26,16.3
"[-36.4288, 145.3949]",2020,7,27,15.2
"[-36.4288, 145.3949]",2020,7,28,17.6
"[-36.4288, 145.3949]",2020,7,29,15.2
"[-36.4288, 145.3949]",2020,7,30,14.8
"[-36.4288, 145.3949]",2020,7,31,14.9
