Coordinates,Year,Month,Day,Maximum temperature (Degree C)
"[-33.8607, 151.2050]",2020,7,1,22.5
"[-33.8607, 151.2050]",2020,7,2,23
"[-33.8607, 151.2050]",2020,7,3,18.2
"[-33.8607, 151.2050]",2020,7,4,17.3
"[-33.8607, 151.2050]",2020,7,5,19.3
"[-33.8607, 151.2050]",2020,7,6,19.4
"[-33.8607, 151.2050]",2020,7,7,17
"[-33.8607, 151.2050]",2020,7,8,15
"[-33.8607, 151.2050]",2020,7,9,17.3
"[-33.8607, 151.2050]",2020,7,10,17.4
"[-33.8607, 151.2050]",2020,7,11,15.8
"[-33.8607, 151.2050]",2020,7,12,17.6
"[-33.8607, 151.2050]",2020,7,13,17.8
"[-33.8607, 151.2050]",2020,7,14,16.1
"[-33.8607, 151.2050]",2020,7,15,15.1
"[-33.8607, 151.2050]",2020,7,16,15.3
"[-33.8607, 151.2050]",2020,7,17,15.4
"[-33.8607, 151.2050]",2020,7,18,17.4
"[-33.8607, 151.2050]",2020,7,19,20.3
"[-33.8607, 151.2050]",2020,7,20,18.9
"[-33.8607, 151.2050]",2020,7,21,17.7
"[-33.8607, 151.2050]",2020,7,22,19.5
"[-33.8607, 151.2050]",2020,7,23,19.5
"[-33.8607, 151.2050]",2020,7,24,18.1
"[-33.8607, 151.2050]",2020,7,25,17.5
"[-33.8607, 151.2050]",2020,7,26,16.6
"[-33.8607, 151.2050]",2020,7,27,16.1
"[-33.8607, 151.2050]",2020,7,28,18.4
"[-33.8607, 151.2050]",2020,7,29,19.8
"[-33.8607, 151.2050]",2020,7,30,19.1
"[-33.8607, 151.2050]",2020,7,31,18.1
